,short_window,long_window,regime,cumulative_return,sharpe
0,17,51,,3.020031679687509,0.5903904901580634
1,17,34,,2.9957482861328093,0.5921399897709824
2,19,47,,2.957789197998055,0.5806150850302412
3,16,72,,2.957043897705078,0.5873551796927821
4,11,44,,2.9483063720703298,0.5754364003771776
5,17,59,,2.9439427490234342,0.5784175871022504
6,15,52,,2.9403344042968698,0.5760469318441606
7,10,45,,2.939037080078134,0.5737726686563358
8,14,35,,2.931356796874991,0.5694152610052967
9,13,39,,2.9220521337890784,0.5719058442838856
10,12,42,,2.9152133666992266,0.5697880318134223
11,21,31,,2.912515393066402,0.5742657142199362
12,15,37,,2.909531220703117,0.5703758009104574
13,20,70,,2.9074003942871087,0.573732760463344
14,21,42,,2.904067204589848,0.5706483483738342
15,18,54,,2.9011624999999897,0.5728072041250613
16,17,68,,2.8819686315918065,0.5737181039918243
17,20,50,,2.8795858923339823,0.5690143536713265
18,21,63,,2.8784726354980354,0.5692935235811784
19,18,45,,2.8762246740722697,0.5648945738975409
20,18,72,,2.876074283447259,0.5710620974247117
21,25,62,,2.873832471923837,0.5696534798585415
22,22,66,,2.8730617358398507,0.5678100227234666
23,23,46,,2.8687859082031246,0.5656079096868076
24,26,65,,2.8654089306640684,0.5708275489070356
25,19,66,,2.865116187744138,0.5708341125520087
26,17,76,,2.845537933349617,0.5656921139697911
27,19,57,,2.8451243701171713,0.5624980703144528
28,19,28,,2.8423687756347618,0.5547557745876426
29,16,32,,2.8418245776367117,0.5539505384546433
30,16,56,,2.8358382727050917,0.5605023724065439
31,14,56,,2.8320187292480434,0.5562560048108767
32,15,60,,2.83124065551758,0.5597594913591665
33,11,22,,2.829568807983403,0.5372704014044215
34,23,69,,2.8265828259277432,0.5611647067050177
35,16,64,,2.823779564208989,0.5586278436891113
36,27,40,,2.8237380798339773,0.5589075640717127
37,26,52,,2.8205600524902272,0.5587407405858634
38,22,44,,2.8197643322753745,0.5552763983529041
39,12,36,,2.815182945556637,0.5484339818267413
40,14,77,,2.8084638586425803,0.5597660328691775
41,15,75,,2.8079070458984514,0.5595742167026939
42,24,36,,2.8051171838378814,0.5527534474569092
43,20,30,,2.8026352087402358,0.5543936948765024
44,11,16,,2.8022134863281267,0.506447101700125
45,15,67,,2.8006931457519455,0.5543330844361961
46,12,72,,2.79955744140625,0.5533506764328673
47,23,57,,2.7963482666015596,0.5580513617226374
48,27,54,,2.7941279199218862,0.5537207991842681
49,13,65,,2.7940853161621324,0.551757488685968
50,24,60,,2.7924070117187534,0.5534919385370156
51,28,56,,2.7913591601562495,0.554982592757933
52,25,37,,2.788524404907217,0.5499917170502393
53,12,66,,2.788472980957035,0.5499142676282663
54,28,42,,2.786831187744136,0.5518807092349405
55,13,58,,2.7867210412597663,0.5476561861111435
56,29,58,,2.786016497802743,0.556148613112814
57,4,8,,2.780325693359371,0.47185658785674384
58,11,66,,2.7695520410156216,0.5465613955059978
59,13,78,,2.7622408593750016,0.5504091026782215
60,9,54,,2.7618797717285064,0.5421338906923444
61,21,73,,2.760748403320315,0.5473264423457319
62,14,63,,2.7560307922363165,0.5445230445737844
63,3,18,,2.7556241857910133,0.48431465847970007
64,13,71,,2.7553814514160218,0.5448609245041588
65,26,39,,2.7528283935546787,0.5446018597466998
66,19,76,,2.7528038598632896,0.5448627550286557
67,10,25,,2.7518278332519492,0.5234938649244308
68,21,52,,2.7508068786621154,0.5452504472130537
69,24,48,,2.74994375854493,0.5458393195968794
70,23,34,,2.7488542114257832,0.5391678221095106
71,22,55,,2.7438981188964853,0.5456792873875411
72,29,43,,2.7422480529785225,0.5459140990400994
73,15,90,,2.74130763793946,0.541719018304999
74,18,63,,2.7411947393798757,0.5440930858060015
75,22,33,,2.73472540527344,0.5364204133620895
76,16,80,,2.7259235119628893,0.5424831111069901
77,25,50,,2.7241416088867214,0.5425501078011268
78,15,82,,2.7215856799316547,0.5412120998036002
79,17,85,,2.7197487817382937,0.538339246997901
80,9,45,,2.7180910498046953,0.5259724313554566
81,16,88,,2.7148572729492377,0.5368592592515588
82,14,70,,2.7140494384765637,0.5369832861597922
83,18,81,,2.7131352270507874,0.5372429046153102
84,20,60,,2.711838772583012,0.5394562330825042
85,11,49,,2.708480198974609,0.5325538311581456
86,13,19,,2.704930654907235,0.5106691691312135
87,14,84,,2.7044033825683647,0.5370375688128252
88,4,16,,2.6953189770507793,0.4738961032328427
89,10,50,,2.6915091430664098,0.5292781699029596
90,8,20,,2.686897269287115,0.4859149244315799
91,18,27,,2.686742653198261,0.5210926092984925
92,5,17,,2.686023235473635,0.4770343199185807
93,4,18,,2.6843619262695295,0.4730173702079921
94,16,48,,2.6835951586914164,0.5275783652657551
95,18,36,,2.68178561645509,0.5251973488052413
96,20,80,,2.679523273925784,0.5319174191920871
97,9,18,,2.67145338989258,0.48300134030233827
98,12,60,,2.669461434326162,0.5248529047785632
99,8,48,,2.6586630175781285,0.514334750025024
100,16,40,,2.6582378735351635,0.5199388459413471
101,17,25,,2.655909628295899,0.5136827578729968
102,8,12,,2.6542649389648405,0.47120523507605444
103,5,15,,2.651628214111325,0.46710415049583404
104,9,49,,2.6446904943847827,0.5121660893430346
105,27,121,,2.6445184722900508,0.5247305778776344
106,20,40,,2.6437746716308723,0.5209659730819511
107,19,85,,2.6421697180175707,0.5236815131262751
108,6,30,,2.6411970501709043,0.4901094960159148
109,12,24,,2.641100469970703,0.5044165361419334
110,11,60,,2.6401499316406256,0.5186762761963774
111,6,15,,2.628613298339831,0.46559670516320223
112,17,42,,2.625327082519535,0.5150542853873221
113,5,7,,2.6213181494140794,0.4442525870214912
114,25,125,,2.6143867785644423,0.5180353499800714
115,16,96,,2.6128601684570376,0.5180627933202576
116,19,38,,2.6106771118164285,0.5121565259380229
117,4,20,,2.6041708343505823,0.46315410982375954
118,7,21,,2.5983264978027445,0.46907478311379736
119,25,75,,2.594956159667972,0.5069477893938007
120,10,60,,2.589386286621105,0.5079852006914557
121,4,22,,2.588314358520513,0.46152563394384855
122,8,44,,2.5869473864746055,0.49921027100498716
123,14,21,,2.580531943969716,0.4925839080474112
124,15,30,,2.578588838500984,0.49918204384217896
125,10,15,,2.5780644787597655,0.46350497348804404
126,13,26,,2.5750731567382834,0.4862030324654836
127,22,132,,2.5691497497558515,0.5079366316742097
128,10,55,,2.5637087170410116,0.49994958007731594
129,22,77,,2.5589039465332073,0.49609973904823795
130,7,24,,2.557988689575192,0.4658613759059424
131,10,20,,2.5574217559814523,0.4689597137271226
132,18,90,,2.5545775268554642,0.5062381207592106
133,7,14,,2.5542945196533315,0.4532246604295346
134,23,80,,2.5476896887207165,0.4974438587983216
135,17,93,,2.546197689208983,0.5039683856733416
136,21,84,,2.5345282824707156,0.49246690934116244
137,9,27,,2.5310335034179636,0.47742364612617616
138,13,52,,2.5300153161621117,0.49599710415322884
139,14,49,,2.5300153161621117,0.49599710415322884
140,8,28,,2.529928439941401,0.47807507732863447
141,23,126,,2.5291432519531334,0.5000291522331467
142,6,24,,2.528870192260754,0.4545854239615095
143,12,48,,2.5256003002929845,0.4917987908369005
144,8,24,,2.5232227288818345,0.46182140924726406
145,4,6,,2.518043972778309,0.41076886410033236
146,11,33,,2.5173658306884747,0.4759573437579605
147,13,45,,2.5100781103515635,0.4896330429416563
148,14,42,,2.5011073022460875,0.48794237469424173
149,9,22,,2.500219153442387,0.458536423498156
150,27,67,,2.495476821289074,0.48640839536894676
151,24,72,,2.494406202392582,0.4853845908055615
152,23,138,,2.485372939453109,0.49235730216718593
153,24,84,,2.484304268798838,0.47973395979647965
154,15,45,,2.4829355090332066,0.48524776946685344
155,6,12,,2.4827033886718706,0.43117887789542225
156,26,130,,2.475169427490222,0.492231145990271
157,5,27,,2.4751629498290977,0.447520360246206
158,5,25,,2.4748382745361286,0.4439315064753484
159,26,78,,2.474800002441418,0.4773613178748984
160,9,13,,2.4741576531982563,0.43941813306856536
161,12,18,,2.4704971032714917,0.4605583000782813
162,20,90,,2.470464394531241,0.4779818225110754
163,24,132,,2.4679797009277293,0.49042984459222744
164,7,42,,2.4554663439941287,0.4575744410407795
165,29,116,,2.454866860351565,0.47854985773606185
166,12,54,,2.4531968347168025,0.47991587697323196
167,6,21,,2.4524810803222685,0.43785969402967473
168,11,55,,2.452306099853516,0.4798972780702059
169,28,70,,2.448092263183585,0.47243163099285135
170,10,30,,2.445677251586916,0.4581523002065684
171,28,112,,2.4362085485839855,0.47258644558717094
172,22,121,,2.432879572753901,0.47166340137574325
173,29,72,,2.4319606396484303,0.4693726149076423
174,7,31,,2.42879304931642,0.4509180572977361
175,26,117,,2.4287228991699052,0.4707950618694756
176,6,36,,2.4239928076171893,0.44946274142194254
177,16,24,,2.418241693725604,0.45690159514684686
178,5,22,,2.4157286730957224,0.42985770101188936
179,7,28,,2.4060985113525373,0.4467026087247955
180,6,33,,2.405718265380862,0.44482903288040815
181,14,28,,2.4000997454834025,0.45272327614276286
182,5,12,,2.3958162054443433,0.41228386071261586
183,6,18,,2.39405763183594,0.4266929823374189
184,12,30,,2.392343837280267,0.4509845281276784
185,13,32,,2.3905180303955165,0.4533683574142775
186,10,40,,2.3897832824707193,0.4539351173218446
187,6,27,,2.381335629272461,0.43143541547092845
188,8,36,,2.3805451727295006,0.4413771105404979
189,11,38,,2.377813837890624,0.45132271347441494
190,20,110,,2.375554050292964,0.4560404076071451
191,7,38,,2.3747703015136716,0.43948928445244284
192,3,12,,2.3734728411865182,0.4054222319589661
193,21,126,,2.3689804455566406,0.45644779038214295
194,19,95,,2.3689708825683655,0.4539572491627489
195,11,27,,2.368727396850578,0.44286446441636984
196,18,99,,2.366664730224595,0.45375678878556297
197,5,20,,2.3664062365722645,0.42062888316612096
198,3,4,,2.366233034667969,0.37662276704830494
199,26,104,,2.359141910400397,0.45491171087027554
200,21,105,,2.3590008386230514,0.4541712342210397
201,7,17,,2.3583191613769525,0.41923146477308004
202,3,16,,2.3581983294677857,0.406067934058851
203,15,22,,2.355889091186518,0.4408829395520601
204,8,40,,2.3554099011230476,0.4401178095469955
205,8,16,,2.3554089697265703,0.41860687485000003
206,9,36,,2.3538888531494315,0.43741293822992433
207,24,120,,2.3538862756347645,0.45455230729827295
208,27,81,,2.3529754089355555,0.4517867389745596
209,29,159,,2.352967030029283,0.43599603990650776
210,8,32,,2.352079044799793,0.43313868634620895
211,24,108,,2.351223630371099,0.4531251332625231
212,18,108,,2.35116761718749,0.45069724019051066
213,5,30,,2.350839384155268,0.4246741631805732
214,3,13,,2.3423996600341663,0.39953833195719973
215,22,88,,2.336960426025399,0.45040982774353744
216,7,10,,2.3321675799560664,0.4015631706310294
217,29,87,,2.3313485058593697,0.44770856967799416
218,28,98,,2.3311368432617185,0.44891512901574027
219,3,9,,2.3291022308349625,0.39126286333735194
220,4,24,,2.327900678710938,0.41202515101079656
221,3,15,,2.325500031127931,0.39774090374483534
222,22,110,,2.324464165039063,0.444824242818816
223,25,87,,2.3210336914062544,0.4451839230472705
224,23,115,,2.3209031494140637,0.44535219275085636
225,4,14,,2.3189228167724667,0.39811617583312825
226,19,104,,2.317223358154292,0.44445901994071096
227,22,99,,2.3118438623046798,0.4428967850068698
228,3,10,,2.3117239739990176,0.3876309476594119
229,25,112,,2.3104458557128886,0.443376938816358
230,4,12,,2.303646665039061,0.39239630509829815
231,29,101,,2.301714652099615,0.44194525089966225
232,7,35,,2.301702888793939,0.4222197661606253
233,20,120,,2.3007579638671882,0.437515420733478
234,28,84,,2.300139560546874,0.4416265359025829
235,21,115,,2.299956477050786,0.43909050585712484
236,17,102,,2.2981445947265597,0.4391033391785113
237,27,108,,2.2964115429687535,0.4414992530212015
238,9,31,,2.2879564276122935,0.42014994633011776
239,19,114,,2.287378997802742,0.43533287121504954
240,23,103,,2.2852914465332086,0.4362785976785129
241,20,100,,2.2849870434570327,0.4375408671470923
242,23,92,,2.283759536132805,0.43740791949294516
243,5,10,,2.2776200610351522,0.3869519388150837
244,21,94,,2.272735574951183,0.43589167452683064
245,10,35,,2.271351450805671,0.4205935320916837
246,4,10,,2.265986654663076,0.3821824735192917
247,9,40,,2.2641742895507875,0.419651361899669
248,24,96,,2.2538681701660086,0.4299128873369498
249,3,7,,2.253741191406245,0.3615126144003126
250,27,94,,2.2506102575683604,0.42980480080210404
251,26,91,,2.248445781249986,0.4282742545776891
252,25,100,,2.2390144738769524,0.42579639805502717
253,28,154,,2.232967110595717,0.41055201052356705
254,27,135,,2.2321702062988154,0.40775352624409755
255,26,156,,2.2194389465332054,0.4074661443009792
256,27,162,,2.208018579711908,0.4034938551969352
257,25,150,,2.2038713037109297,0.40033797459771836
258,28,168,,2.2014118676757923,0.40189332840201936
259,27,148,,2.1954534765625073,0.4025210019181047
260,3,6,,2.1952234991454924,0.350535678194533
261,26,143,,2.194323007202155,0.39901707999168257
262,24,144,,2.1398415594482425,0.3853180104847886
263,29,145,,2.1321707812500073,0.389253879493559
264,29,130,,2.129594312744145,0.3874603432004478
265,25,137,,2.126386744384769,0.38253464775438745
266,28,126,,2.117448975830079,0.38082841210185525
267,28,140,,2.1037947625732403,0.38100480869237996
268,6,9,,2.072141331176752,0.3447325481030794
269,29,174,,2.0654421972656274,0.36861373529332625
