,short_window,long_window,regime,cumulative_return,sharpe
0,6,9,,4.414701548614482,0.6629952283955816
1,3,9,,4.373810198440553,0.6441912621983967
2,5,12,,4.298262643661499,0.655641999472356
3,3,18,,4.2214380970764225,0.6515929246136463
4,4,6,,4.196554853782673,0.6202250311189108
5,4,8,,4.183155566291812,0.6254648864599742
6,5,7,,4.1282220869064385,0.6198294124232017
7,3,15,,4.104178354072551,0.6343813060114009
8,7,10,,4.078044871406555,0.6347691171879304
9,5,10,,4.053879384918204,0.6291966742480324
10,4,14,,4.033892702407861,0.6286462430175346
11,9,45,,4.001137184448274,0.6894561678875599
12,8,48,,3.9986159577178917,0.6888203518184675
13,9,49,,3.9951713021087643,0.6885385545477963
14,4,16,,3.9951576396942308,0.6247844569624387
15,4,12,,3.9894431830215376,0.6214887275295511
16,10,45,,3.9821427068329047,0.6870062711926683
17,11,16,,3.969708841972361,0.6363030613901668
18,9,27,,3.9549593627929784,0.658452403123751
19,3,16,,3.9419170628357034,0.6178914406249615
20,13,39,,3.9213710565185393,0.6804122436571644
21,3,7,,3.91583980293274,0.5893526256751696
22,9,13,,3.9104189807510368,0.6279584143230542
23,12,42,,3.9036643325042726,0.6781245440621625
24,6,27,,3.8995511766433877,0.6354169809649565
25,10,25,,3.8887560860824557,0.650850680775822
26,5,20,,3.8848054813385167,0.6242241743920995
27,4,22,,3.8848054813385167,0.6242241743920995
28,9,18,,3.880010737838741,0.6250075522554013
29,7,21,,3.874587666778578,0.6290359169164391
30,6,24,,3.874587666778578,0.6290359169164391
31,8,40,,3.873679487190251,0.6645723710111959
32,7,24,,3.8719734101486205,0.6321703304352696
33,7,17,,3.8639050217056226,0.62480001277674
34,11,44,,3.8623756694030624,0.6723678852113183
35,5,25,,3.8501353763580473,0.6260874461414964
36,6,12,,3.8408063454818553,0.6094761535212623
37,6,18,,3.8328952960968112,0.6185981485983042
38,7,35,,3.8316202097701773,0.6564603315437324
39,8,32,,3.8316202097701773,0.6564603315437324
40,8,44,,3.821096594047552,0.6602225561537698
41,7,42,,3.817925721473692,0.6570397586403689
42,5,27,,3.813670949211131,0.6246060686059896
43,12,18,,3.8072401266098255,0.6250887652178633
44,9,36,,3.801644663581842,0.6557232636930309
45,10,50,,3.7970584899902335,0.6649829380301823
46,8,16,,3.792270702629084,0.6165115187369414
47,9,31,,3.78849302112579,0.6513566510630687
48,7,28,,3.781284382209781,0.6271159027013349
49,15,37,,3.777525845947265,0.6620774902066937
50,3,6,,3.77236489982606,0.5632297203905814
51,6,21,,3.7657827528762806,0.6141427509767261
52,9,54,,3.76328119853973,0.6612263791051605
53,12,36,,3.759477837104822,0.656698060069554
54,8,28,,3.7556833731842056,0.6293644242522491
55,9,40,,3.744171460762022,0.6512373135245292
56,10,35,,3.742781001472468,0.6492011184579883
57,6,15,,3.7392732717132593,0.602091041153039
58,10,15,,3.7378695107650817,0.6059372609414565
59,3,10,,3.7342692332458483,0.5800927251721123
60,4,24,,3.7268983445358366,0.6075368897589927
61,5,15,,3.724147031326306,0.5989571410397868
62,4,20,,3.723909563865657,0.6006057969784702
63,7,14,,3.7206071305084207,0.6003204248222258
64,3,4,,3.7183861385345454,0.5584628705865708
65,8,20,,3.7153287564850004,0.6051747238956717
66,14,35,,3.6934095284652835,0.6483195825409604
67,5,30,,3.6930530793762233,0.6098851928155492
68,6,30,,3.6862012668609587,0.614658686113494
69,8,24,,3.6859779716110412,0.6099527119333212
70,8,12,,3.6745620717620944,0.5943707286082599
71,14,21,,3.6733054378891024,0.630733333434135
72,3,12,,3.6717656746291976,0.576407952318377
73,9,22,,3.6683374167251555,0.6077501401365104
74,16,32,,3.6682413989639224,0.6449923539339996
75,7,38,,3.6681281933974974,0.6356524359178464
76,7,31,,3.6609786177444343,0.6296174941783292
77,3,13,,3.6605088679123354,0.5751842911137605
78,12,24,,3.658016058578506,0.6292169938173321
79,11,27,,3.632212378768933,0.625970306832806
80,19,28,,3.6316935078811756,0.6405587540807324
81,12,30,,3.631264265975955,0.6293464235599192
82,4,18,,3.6254721747207737,0.5877253188518237
83,10,40,,3.621458086738603,0.6356216160330299
84,11,33,,3.6187653215026874,0.6331906810348762
85,8,36,,3.617606631584161,0.6298666393963874
86,13,32,,3.6172742849731776,0.6341053845841609
87,11,22,,3.6060160443496745,0.6075315786560728
88,5,17,,3.6057857369613604,0.5860151367067139
89,10,20,,3.605675669898986,0.5999581014213811
90,5,22,,3.602165354881289,0.5926201428307191
91,6,33,,3.5955681270217847,0.6206632375291374
92,15,30,,3.5904061626434554,0.6274978908905128
93,11,38,,3.5726870550155985,0.6295952511800602
94,14,28,,3.565380510940557,0.6213335951746497
95,10,30,,3.5565406844330063,0.6162203024341617
96,13,19,,3.5557621200942875,0.6013928774317576
97,4,10,,3.5399236003875783,0.5571950126221124
98,10,60,,3.529574099273711,0.6276991639840536
99,12,54,,3.471369264068609,0.6195021360183482
100,6,36,,3.4500646948623634,0.601248233427793
101,13,52,,3.4053658458709686,0.6101206830887635
102,18,27,,3.4015125358581546,0.6021251757638747
103,14,49,,3.4011953385162474,0.6094939886155469
104,17,42,,3.400671371688847,0.6093554924054798
105,16,24,,3.4004535689544824,0.5985039586571049
106,17,25,,3.39779938949585,0.5990820428546311
107,19,38,,3.397203545303333,0.6088585854310805
108,11,60,,3.3934861972808896,0.6096110195734363
109,11,55,,3.39182030578613,0.6070820841288306
110,10,55,,3.387184217567439,0.6063625353181825
111,24,36,,3.386884072952275,0.6091411470215469
112,15,45,,3.384450415573128,0.6060638164987556
113,25,37,,3.369361509094257,0.6089551108699661
114,16,48,,3.368931366958616,0.6062869492818588
115,12,48,,3.365930268669152,0.6032725707309765
116,18,45,,3.336598013839746,0.6015727953546824
117,11,66,,3.336083111572249,0.6038220414410046
118,13,58,,3.328805954818736,0.601749023913387
119,22,33,,3.3281931679534957,0.5979060464770527
120,14,56,,3.3236932175445437,0.600958443379032
121,16,56,,3.3058006423950395,0.5993740545999282
122,20,40,,3.2990138954162704,0.595440959845324
123,22,44,,3.290798247070319,0.5973691950044773
124,18,36,,3.2811239884567427,0.5913609027320899
125,13,45,,3.280338972053527,0.5909450999059301
126,11,49,,3.2779390312576453,0.5902808973408167
127,12,72,,3.2778420747757027,0.5974765266924131
128,13,78,,3.274711233291638,0.5967308519522434
129,13,71,,3.269024649238584,0.5960842529310256
130,25,50,,3.266656959571832,0.592963824511585
131,21,31,,3.266656523857139,0.5893560421666988
132,23,34,,3.2664227902221743,0.5904510711321774
133,12,60,,3.2658623877716115,0.5915480118815974
134,17,34,,3.265351438217169,0.5845846443200008
135,19,47,,3.2617038995361445,0.5927464700514214
136,21,42,,3.2553615216064644,0.5907933647940062
137,14,70,,3.254700218467699,0.5923586156511458
138,13,26,,3.2539752529144357,0.5750269846824875
139,15,22,,3.2539752529144357,0.5750269846824875
140,15,52,,3.2467726550293134,0.588877379294476
141,12,66,,3.2446857824325512,0.5920132692114108
142,13,65,,3.2446857824325512,0.5920132692114108
143,17,51,,3.240679913330092,0.5894981740428915
144,28,42,,3.240060797691365,0.5933784486798637
145,22,55,,3.23826508152008,0.5912392844931138
146,14,63,,3.2369433920669604,0.5908847186976278
147,15,60,,3.2369433920669604,0.5908847186976278
148,15,67,,3.2360335855484057,0.5914328160560965
149,16,40,,3.229805412330628,0.5832704944913945
150,16,64,,3.229491787757872,0.590484545084665
151,29,43,,3.228566136283875,0.5890665689079322
152,15,82,,3.227198381195069,0.5909890238673409
153,17,68,,3.2262296603393747,0.5892418825049969
154,18,81,,3.219982354736322,0.5903149169466302
155,28,56,,3.219098795242313,0.5903103268194226
156,18,63,,3.2188975891494938,0.5880784088364063
157,14,77,,3.2162664546203756,0.5877585260386252
158,20,60,,3.2160402629470797,0.5877125199516506
159,26,39,,3.2140218568420345,0.5858698587824037
160,14,42,,3.203779226264948,0.5791984985723033
161,19,76,,3.2008993154907364,0.5873287604011936
162,22,66,,3.200757929687501,0.587361357215625
163,20,70,,3.200412552490232,0.5871832019482923
164,27,54,,3.1996730580902226,0.5872114310935053
165,15,75,,3.1974610805511414,0.5848312597579197
166,14,84,,3.1973097792053347,0.5892593484486739
167,16,72,,3.1939934131622274,0.5842602293916415
168,23,57,,3.192030921859763,0.5831086810267704
169,20,30,,3.189019925460829,0.5741958507311992
