Date,pred_close
2021-03-23,3900.1648053092863
2021-03-24,3878.8412937918542
2021-03-25,3899.1674533494884
2021-03-26,3964.0152972550927
2021-03-29,3960.5744816926153
2021-03-30,3948.067649157686
2021-03-31,3962.369520424947
2021-04-01,4009.2253395108633
2021-04-05,4067.1114427224766
2021-04-06,4063.1519846613737
2021-04-07,4069.1460796795254
2021-04-08,4086.3204512079537
2021-04-09,4117.866576819186
2021-04-12,4117.0591502814195
2021-04-13,4130.622747344064
2021-04-14,4113.73789033717
2021-04-15,4159.3764822631665
2021-04-16,4174.386921451085
2021-04-19,4152.235286394768
2021-04-20,4123.990454209059
2021-04-21,4162.36853814256
2021-04-22,4124.030387246512
2021-04-23,4169.100663871198
2021-04-26,4176.531130766998
2021-04-27,4175.633611400833
2021-04-28,4172.1029465040865
2021-04-29,4200.318072405836
2021-04-30,4170.098015830996
2021-05-03,4181.557823603442
2021-05-04,4153.631968729094
2021-05-05,4156.5538982988155
2021-05-06,4190.494058204172
2021-05-07,4221.392002439187
2021-05-10,4177.339044293027
2021-05-11,4141.105169675438
2021-05-12,4052.2809456972263
2021-05-13,4101.609934669781
2021-05-14,4162.797574801048
2021-05-17,4152.2654796669885
2021-05-18,4116.8994181316075
2021-05-19,4104.7816892177125
2021-05-20,4148.106599912752
2021-05-21,4144.854979289914
2021-05-24,4185.935848075407
2021-05-25,4177.03954651213
2021-05-26,4184.879083547691
2021-05-27,4189.755783999556
2021-05-28,4192.977211350173
2021-06-01,4190.912868109165
2021-06-02,4196.97684594286
2021-06-03,4181.747262037212
2021-06-04,4218.689217587195
2021-06-07,4215.328024605493
2021-06-08,4216.065811821848
2021-06-09,4208.3762671708655
2021-06-10,4227.954656252781
2021-06-11,4236.192549686348
2021-06-14,4243.88209433733
2021-06-15,4235.344703122867
2021-06-16,4212.515667394637
2021-06-17,4210.680208636591
2021-06-18,4155.417267696194
2021-06-21,4213.602625194573
2021-06-22,4235.19519772655
2021-06-23,4230.607281313826
2021-06-24,4255.192396713459
2021-06-25,4269.364729103129
2021-06-28,4279.248155872711
2021-06-29,4280.434946266279
2021-06-30,4286.1200472324335
2021-07-01,4308.500566771712
2021-07-02,4340.814672871519
2021-07-06,4332.0381704206
2021-07-07,4346.589379677811
2021-07-08,4309.378119619151
2021-07-09,4357.979061140583
2021-07-12,4373.019206612461
2021-07-13,4357.640117310496
