,short_ma,long_ma,signal,regime,cumulative_return,sharpe
0,9,46,6,,1.7517025585937607,0.20712328385446294
1,6,55,8,,1.7307993542480575,0.20353794520255547
2,7,46,8,,1.704261026000979,0.19700270914261445
3,7,55,8,,1.6983612164306676,0.19594410506405355
4,6,46,10,,1.697069157104498,0.19569414724421438
5,10,46,6,,1.697069157104498,0.19569414724421438
6,12,42,5,,1.6798991394043004,0.19193638111934067
7,10,51,5,,1.671165355834955,0.18993836622311122
8,9,55,6,,1.6556523443603501,0.18660577724428848
9,9,60,5,,1.6238345574951136,0.1799640176362605
10,10,55,5,,1.6104010888671936,0.17617861129367687
11,6,60,8,,1.5935319628906257,0.17284005216454085
12,10,42,6,,1.5924599731445261,0.17199147987508961
13,6,42,10,,1.5924599731445261,0.17199147987508961
14,7,42,8,,1.584680389404297,0.16970989073875115
15,10,60,5,,1.564448912353514,0.1656387804931782
16,6,37,11,,1.5420011871337935,0.1601770079374081
17,7,51,8,,1.5252203729247922,0.1560880794118857
18,9,60,6,,1.5247795715332066,0.157204936550276
19,9,42,6,,1.5169326458740329,0.15363684011708575
20,9,55,5,,1.5149936584472654,0.1536587400444346
21,6,51,8,,1.507514708862302,0.15184369903775252
22,9,51,5,,1.4602428448486309,0.1400723369046279
23,10,46,5,,1.441789531250006,0.13497681028678374
24,12,33,6,,1.4373859539794889,0.13430806157455177
25,12,37,5,,1.4122101300048837,0.12771859744622063
26,7,37,8,,1.407843344726567,0.12622702127662622
27,7,33,10,,1.4075020208740214,0.1265118457080058
28,12,46,5,,1.399486732177733,0.1261144256603276
29,9,51,6,,1.3968997631835847,0.12363277420343796
30,9,33,8,,1.3803453607177711,0.1193233106513182
31,10,42,5,,1.3772031347656308,0.11818667516247666
32,9,37,6,,1.3755399743652372,0.11771187875717823
33,7,28,11,,1.3399369244384691,0.10831504683647865
34,6,37,10,,1.3392844769287175,0.10786657146510055
35,10,37,6,,1.3392844769287175,0.10786657146510055
36,13,42,5,,1.3229517138671874,0.10516862691385823
37,6,55,10,,1.3205722351074263,0.10428960915186018
38,12,51,5,,1.3171985052490311,0.10341517014960336
39,6,28,13,,1.3155070086669922,0.10147378361530988
40,13,28,6,,1.3155070086669922,0.10147378361530988
41,10,55,6,,1.3139445452880896,0.10234766134650918
42,15,28,5,,1.3133146978759753,0.10086593800824394
43,6,33,10,,1.3106600720214838,0.09970007367086037
44,10,33,6,,1.3106600720214838,0.09970007367086037
45,13,37,5,,1.310066680297851,0.10010126108820826
46,6,42,11,,1.3084513787841792,0.10004914999163785
47,13,33,5,,1.296554200439449,0.09605413769213571
48,6,46,11,,1.2964998565673826,0.09743979777537529
49,7,60,8,,1.2942995526123031,0.09684440165120431
50,6,51,10,,1.2861899121093714,0.09434103104722227
51,10,51,6,,1.2830968048095683,0.09342245149774175
52,10,37,5,,1.272772344360343,0.08905876429645124
53,6,46,8,,1.2712629534912148,0.08846178238714646
54,7,60,6,,1.2684847314453132,0.08791333891356613
55,12,60,5,,1.2669947857665986,0.08905868243520018
56,13,28,5,,1.2378434930419935,0.07877116501599528
57,16,55,5,,1.2354418762207096,0.07960897614940911
58,6,55,13,,1.227806823120117,0.07713283438368762
59,9,37,8,,1.2270736145019552,0.07618386739805917
60,16,24,5,,1.2263926580810514,0.07537001663623526
61,9,46,5,,1.2245648077392592,0.07469673685868482
62,12,60,6,,1.2186040966796838,0.07436380694737961
63,6,60,11,,1.2164710565185533,0.07350633912769253
64,9,60,8,,1.2152360217285199,0.07330170223200687
65,9,42,5,,1.2125849853515618,0.0711249286272462
66,13,46,5,,1.2120407904052757,0.07223138187352565
67,13,55,6,,1.2107384381103494,0.07197505683934496
68,16,60,5,,1.2097276654052747,0.07160929705352205
69,15,33,5,,1.2060309045410125,0.06978546732790732
70,15,37,5,,1.202401204833982,0.06921448036920984
71,6,51,11,,1.1999630426025385,0.06852128372292207
72,7,60,10,,1.1990820690917932,0.06838163738691073
73,6,55,11,,1.1903222460937506,0.06543038401251162
74,15,60,5,,1.1884665734863291,0.06507838842051793
75,7,55,10,,1.1861250518798854,0.06413107133837079
76,6,60,10,,1.1818619543457018,0.06278454602255593
77,6,33,11,,1.1808469995117237,0.06135298198435716
78,10,60,6,,1.1761511608886743,0.06085988954942233
79,12,55,5,,1.1748140698242173,0.06050375493282113
80,18,24,5,,1.1723152044677727,0.0592996762239584
81,12,55,6,,1.1717810913085924,0.05972166316096922
82,13,55,5,,1.16880532836914,0.058657620548545265
83,12,37,6,,1.166007773437498,0.05721631417453126
