,short_window,long_window,regime,cumulative_return,sharpe
0,6,27,,2.5192174026870724,0.5535954363808712
1,6,30,,2.4673377464294464,0.5457281231085118
2,9,13,,2.390966178588858,0.515463729462502
3,7,24,,2.3543553440856906,0.5041934617858008
4,8,28,,2.342254968109124,0.5160050563144873
5,5,30,,2.3388450630569455,0.5151376282510923
6,8,16,,2.326898624114996,0.49696483452474033
7,9,40,,2.3245852735137964,0.5034137721038903
8,9,54,,2.267087641410829,0.4900995151301303
9,8,20,,2.250333100280767,0.47672630072090233
10,3,16,,2.233527898635868,0.47896645984432984
11,4,24,,2.228944757347102,0.4875546688935028
12,9,45,,2.2130683728790297,0.4764825324196117
13,9,27,,2.2115662534332197,0.4678863698655063
14,9,31,,2.202837894325255,0.47770113749211995
15,8,44,,2.1915943456649782,0.4687033274415606
16,6,33,,2.1622417572021457,0.46346451785310694
17,7,28,,2.1521421530914293,0.4600754633654845
18,8,32,,2.143931514320377,0.4621018919367676
19,6,18,,2.1426861460494973,0.4459886682216854
20,8,24,,2.119353064956673,0.44294918208014145
21,7,35,,2.1083712783813526,0.45319565987405297
22,9,22,,2.1045499298095725,0.4311835842419275
23,5,27,,2.1041760919189327,0.45083227448900687
24,7,31,,2.102528313751214,0.4526484482996232
25,6,36,,2.0593786177825937,0.4340505615645765
26,3,15,,2.0556036897277936,0.4308165936600702
27,7,17,,2.0383693394470312,0.4164726123221996
28,6,15,,2.0077911154174757,0.40820817456043795
29,8,12,,2.006683047752389,0.4057793199687802
30,7,14,,1.9661513016128567,0.3927615643459691
31,9,49,,1.9553553502655083,0.40162701897584685
32,3,18,,1.9409346250915502,0.3969569984329046
33,8,40,,1.9395230411911017,0.3983718648639368
34,7,21,,1.9359749678420979,0.38414092755696777
35,6,12,,1.9312155371856767,0.38543272645035787
36,3,13,,1.907755673751827,0.37935338364871374
37,9,18,,1.9040960196685832,0.3802086098846919
38,6,24,,1.898521129455562,0.3758485071967528
39,8,48,,1.8896872959136968,0.38200101422560967
40,8,36,,1.8786082607650723,0.37810686611984906
41,4,22,,1.8334711071777356,0.3663621019341281
42,6,21,,1.8299029493331913,0.35608470847871954
43,5,17,,1.8290877781295727,0.35904367041898755
44,5,25,,1.8245843556213366,0.3611393314041221
45,7,42,,1.791897800407416,0.3526429770937514
46,4,20,,1.7866727452468916,0.3461878412478411
47,7,38,,1.7733668141937204,0.3457739521532877
48,4,12,,1.7643334527969419,0.3379966245321225
49,9,36,,1.7499483131027227,0.3332972953324884
50,3,4,,1.7103171741485603,0.3029955552657633
51,4,18,,1.687368460350039,0.3113343188690746
52,4,14,,1.6863274339294505,0.3107426428856676
53,3,12,,1.6536960636138835,0.29343225428825526
54,7,10,,1.6504968796539312,0.29251416663582913
55,6,9,,1.6297896987533633,0.28162134054859356
56,4,16,,1.6229268875503575,0.28563548820160695
57,5,15,,1.6069809378433182,0.2798326787191271
58,5,22,,1.6052993471908574,0.28073660950441826
59,5,20,,1.5999600359344526,0.2810255569852174
60,5,10,,1.5289046615600619,0.24191981450719074
61,5,12,,1.4798138037490813,0.2293325784960613
62,3,7,,1.3224117425918618,0.1575481347152043
63,3,10,,1.3078968761825596,0.15453782176009356
64,3,9,,1.282640229301451,0.14153878918822663
65,3,6,,1.253561636238101,0.12911955853794854
66,4,8,,1.2482893021392827,0.1251184119303051
67,4,10,,1.1857144953918497,0.09774566495676477
68,5,7,,1.0470425102996834,0.0259017332511009
69,4,6,,0.9550646236038223,-0.025690889915444638
