,short_ma,long_ma,signal,regime,cumulative_return,sharpe
0,10,42,6,,3.453832257080068,0.43571375049454997
1,6,42,10,,3.453832257080068,0.43571375049454997
2,7,46,8,,3.4491690698242023,0.43463092578105095
3,10,46,6,,3.4476021258545018,0.432060440254898
4,9,55,6,,3.4476021258545018,0.432060440254898
5,7,51,8,,3.4476021258545018,0.432060440254898
6,7,55,8,,3.4476021258545018,0.432060440254898
7,9,51,6,,3.4476021258545018,0.432060440254898
8,6,46,10,,3.4476021258545018,0.432060440254898
9,7,42,8,,3.4186627819824253,0.4333957782176253
10,9,42,6,,3.4186627819824253,0.4333957782176253
11,7,60,6,,3.4186627819824253,0.4333957782176253
12,9,46,6,,3.4186627819824253,0.4333957782176253
13,12,42,5,,3.4155856378173834,0.4297598659650799
14,6,42,11,,3.4124422607421807,0.428936160638775
15,12,46,5,,3.4124422607421807,0.428936160638775
16,6,51,10,,3.4124422607421807,0.428936160638775
17,6,46,11,,3.4124422607421807,0.428936160638775
18,13,46,5,,3.4124422607421807,0.428936160638775
19,10,51,6,,3.4124422607421807,0.428936160638775
20,10,37,6,,3.410910639038094,0.43091451773088196
21,6,37,10,,3.410910639038094,0.43091451773088196
22,10,55,5,,3.379151073608402,0.4262003972974767
23,6,55,8,,3.3775674304199224,0.4290069953784181
24,6,60,8,,3.3775674304199224,0.4290069953784181
25,9,60,5,,3.3775674304199224,0.4290069953784181
26,10,51,5,,3.3775674304199224,0.4290069953784181
27,9,55,5,,3.3775674304199224,0.4290069953784181
28,6,51,8,,3.3775674304199224,0.4290069953784181
29,9,51,5,,3.3775674304199224,0.4290069953784181
30,10,46,5,,3.3775674304199224,0.4290069953784181
31,7,46,10,,3.3749552612304727,0.4254979302478281
32,7,55,6,,3.338793604736321,0.4253244870647038
33,6,60,6,,3.3327160839843954,0.4209220127420203
34,7,60,5,,3.3327160839843954,0.4209220127420203
35,7,51,6,,3.3327160839843954,0.4209220127420203
36,10,42,5,,3.298014454345689,0.4208936545748342
37,6,46,8,,3.298014454345689,0.4208936545748342
38,7,33,8,,3.2946201452636767,0.41723120412460407
39,9,46,8,,3.291842077636727,0.4177382972866808
40,6,33,8,,3.261391252441414,0.41422846214688913
41,9,46,5,,3.2548906365966874,0.41595689905685657
42,9,33,6,,3.2540705957031313,0.41281215578444963
43,10,33,5,,3.2145163134765657,0.42702329559357
44,7,55,20,,3.0993862145996003,0.3939590864973213
45,12,37,5,,3.098674332275386,0.3905032501278106
46,13,37,5,,3.064764203491221,0.38554838708527367
47,20,28,5,,3.0588026354980453,0.3839527871414586
48,15,28,6,,3.0588026354980453,0.3839527871414586
49,18,33,5,,3.0588026354980453,0.3839527871414586
50,20,24,5,,3.0588026354980453,0.3839527871414586
51,15,33,5,,3.0588026354980453,0.3839527871414586
52,15,33,6,,3.0588026354980453,0.3839527871414586
53,15,37,5,,3.0588026354980453,0.3839527871414586
54,7,42,10,,3.0588026354980453,0.3839527871414586
55,18,28,6,,3.0588026354980453,0.3839527871414586
56,16,28,6,,3.0588026354980453,0.3839527871414586
57,12,42,6,,3.0588026354980453,0.3839527871414586
58,9,42,8,,3.0588026354980453,0.3839527871414586
