Window,Z_Long,Z_Short,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
8,-0.8,2.2,capital_based,,0.98,81682.64054107651,81.68264054107651,4.27227598981339,0.523138510377641,-14.343216122063108,8.932295970213854,157,118,187404.46424865708,33,-108114.84108734132,79289.62316131576,78.1456953642384,4,4766.200775146499,2,-2373.1833953857567,2393.017379760742,66.66666666666666
8,-0.8,3.0,capital_based,,0.98,78157.46889495838,78.15746889495838,4.129225987842733,0.5088198829072925,-14.343216122063094,8.909091385114431,152,119,184856.88523101798,33,-106699.41633605958,78157.4688949584,78.28947368421053,0,0.0,0,0.0,0.0,0.0
8,-0.8,2.6,capital_based,,0.98,78157.46889495838,78.15746889495838,4.129225987842733,0.5088198829072925,-14.343216122063094,8.909091385114431,152,119,184856.88523101798,33,-106699.41633605958,78157.4688949584,78.28947368421053,0,0.0,0,0.0,0.0,0.0
8,-1.2,2.2,capital_based,,0.98,72160.31816101065,72.16031816101065,3.8797036231807303,0.48959899603429363,-14.042898460989289,8.716624815097406,133,95,155109.51251983637,32,-85143.83174133301,69965.68077850336,74.80314960629921,4,4363.111396789551,2,-2168.474014282241,2194.6373825073097,66.66666666666666
8,-1.2,2.6,capital_based,,0.98,68809.35551452631,68.8093555145263,3.7367378789086914,0.47486847846335095,-14.042898460989301,8.692818691422776,128,96,152918.20130920404,32,-84108.84579467773,68809.35551452631,75.0,0,0.0,0,0.0,0.0,0.0
8,-1.2,3.0,capital_based,,0.98,68809.35551452631,68.8093555145263,3.7367378789086914,0.47486847846335095,-14.042898460989301,8.692818691422776,128,96,152918.20130920404,32,-84108.84579467773,68809.35551452631,75.0,0,0.0,0,0.0,0.0,0.0
8,-0.5,2.2,capital_based,,0.98,64888.6985931395,64.88869859313951,3.5660774812372065,0.4231708191109045,-19.53290571225348,9.525444444013589,179,134,189341.58541870108,39,-126761.6783599854,62579.90705871569,77.45664739884393,4,4608.023239135713,2,-2299.2317047118995,2308.7915344238136,66.66666666666666
8,-0.5,3.0,capital_based,,0.98,61662.73637390122,61.66273637390122,3.4228022054375584,0.40944107168654775,-19.53290571225348,9.50365076716582,174,135,186875.9664993285,39,-125213.23012542729,61662.73637390121,77.58620689655173,0,0.0,0,0.0,0.0,0.0
8,-0.5,2.6,capital_based,,0.98,61662.73637390122,61.66273637390122,3.4228022054375584,0.40944107168654775,-19.53290571225348,9.50365076716582,174,135,186875.9664993285,39,-125213.23012542729,61662.73637390121,77.58620689655173,0,0.0,0,0.0,0.0,0.0
5,-0.5,3.0,capital_based,,0.98,41677.44055175781,41.67744055175781,2.4709865045492663,0.3565783766174058,-16.048266280406743,7.860535325136234,199,147,165763.67257690418,52,-124086.23202514635,41677.44055175783,73.86934673366834,0,0.0,0,0.0,0.0,0.0
