RSI_Period,RSI_Oversold,RSI_Overbought,RSI_Exit_Long,RSI_Exit_Short,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
10,35,68,53,43,capital_based,,0.98,77323.17670440662,77.32317670440662,4.094985752743008,0.5879950387547506,-10.742738193822913,7.238035221930246,42,32,89225.47657012932,4,-8042.781295776367,81182.69527435295,88.88888888888889,4,8852.581771850542,2,-12712.100341796875,-3859.5185699463327,66.66666666666666
10,35,68,53,43,capital_based,,0.98,77323.17670440662,77.32317670440662,4.094985752743008,0.5879950387547506,-10.742738193822913,7.238035221930246,42,32,89225.47657012932,4,-8042.781295776367,81182.69527435295,88.88888888888889,4,8852.581771850542,2,-12712.100341796875,-3859.5185699463327,66.66666666666666
10,35,68,47,43,capital_based,,0.98,68732.94670104969,68.73294670104968,3.7334472913665095,0.5854205098319193,-12.779504376865644,6.584000995777191,45,33,87097.05853271474,6,-15337.404777526885,71759.65375518786,84.61538461538461,4,9087.568672180205,2,-12114.275726318374,-3026.707054138169,66.66666666666666
10,35,68,47,43,capital_based,,0.98,68732.94670104969,68.73294670104968,3.7334472913665095,0.5854205098319193,-12.779504376865644,6.584000995777191,45,33,87097.05853271474,6,-15337.404777526885,71759.65375518786,84.61538461538461,4,9087.568672180205,2,-12114.275726318374,-3026.707054138169,66.66666666666666
10,35,68,53,40,capital_based,,0.98,63458.21917724598,63.45821917724598,3.50286994261364,0.49249386603079087,-16.74953983791088,7.54504877557442,42,32,89639.29852294915,4,-8054.662017822266,81584.63650512688,88.88888888888889,4,9199.082183837876,2,-27325.49951171878,-18126.417327880903,66.66666666666666
10,35,68,53,40,capital_based,,0.98,63458.21917724598,63.45821917724598,3.50286994261364,0.49249386603079087,-16.74953983791088,7.54504877557442,42,32,89639.29852294915,4,-8054.662017822266,81584.63650512688,88.88888888888889,4,9199.082183837876,2,-27325.49951171878,-18126.417327880903,66.66666666666666
10,35,68,53,37,capital_based,,0.98,60936.716835021856,60.936716835021855,3.390191084164762,0.4724905073366087,-16.749539837910802,7.721924076706401,41,32,92232.93920135491,4,-8235.695251464844,83997.24394989006,88.88888888888889,4,12547.223800659165,1,-16101.10464477542,-3553.8808441162546,80.0
10,35,68,53,37,capital_based,,0.98,60936.716835021856,60.936716835021855,3.390191084164762,0.4724905073366087,-16.749539837910802,7.721924076706401,41,32,92232.93920135491,4,-8235.695251464844,83997.24394989006,88.88888888888889,4,12547.223800659165,1,-16101.10464477542,-3553.8808441162546,80.0
13,35,68,53,40,capital_based,,0.98,60363.68092346183,60.36368092346183,3.3643548863186767,0.5453194260495192,-7.481030787132477,6.478903472832971,26,24,60284.97622680657,1,-2205.129165649414,58079.847061157154,96.0,1,2283.833862304673,0,0.0,2283.833862304673,100.0
13,35,68,53,40,capital_based,,0.98,60363.68092346183,60.36368092346183,3.3643548863186767,0.5453194260495192,-7.481030787132477,6.478903472832971,26,24,60284.97622680657,1,-2205.129165649414,58079.847061157154,96.0,1,2283.833862304673,0,0.0,2283.833862304673,100.0
13,35,68,53,43,capital_based,,0.98,58269.562232971104,58.269562232971104,3.2692024782790874,0.5397978170220036,-7.481030787132477,6.378325185212594,26,24,59583.12471771233,1,-2205.129165649414,57377.995552062916,96.0,1,891.5666809081886,0,0.0,891.5666809081886,100.0
13,35,68,53,43,capital_based,,0.98,58269.562232971104,58.269562232971104,3.2692024782790874,0.5397978170220036,-7.481030787132477,6.378325185212594,26,24,59583.12471771233,1,-2205.129165649414,57377.995552062916,96.0,1,891.5666809081886,0,0.0,891.5666809081886,100.0
10,35,65,53,43,capital_based,,0.98,55986.19005966175,55.986190059661745,3.1641071650963637,0.40792212418789675,-16.017997930794063,8.228849111375554,45,32,82465.12132263176,4,-7926.936141967773,74538.18518066399,88.88888888888889,5,10685.166793823228,4,-29237.16191482547,-18551.99512100224,55.55555555555556
10,35,65,53,43,capital_based,,0.98,55986.19005966175,55.986190059661745,3.1641071650963637,0.40792212418789675,-16.017997930794063,8.228849111375554,45,32,82465.12132263176,4,-7926.936141967773,74538.18518066399,88.88888888888889,5,10685.166793823228,4,-29237.16191482547,-18551.99512100224,55.55555555555556
10,35,68,47,40,capital_based,,0.98,55557.37737274158,55.55737737274158,3.144211047062173,0.4789575237698935,-16.749539837910888,6.919967836898378,45,33,88106.18431854238,6,-15425.154571533232,72681.02974700915,84.61538461538461,4,9420.392395019517,2,-26544.04476928708,-17123.652374267564,66.66666666666666
10,35,68,47,40,capital_based,,0.98,55557.37737274158,55.55737737274158,3.144211047062173,0.4789575237698935,-16.749539837910888,6.919967836898378,45,33,88106.18431854238,6,-15425.154571533232,72681.02974700915,84.61538461538461,4,9420.392395019517,2,-26544.04476928708,-17123.652374267564,66.66666666666666
10,35,68,47,37,capital_based,,0.98,53162.01260375965,53.16201260375964,3.032123404080278,0.4565295594179652,-16.749539837910856,7.112389935083419,44,33,90516.60079193105,6,-15752.073219299346,74764.5275726317,84.61538461538461,4,12739.252639770493,1,-15779.577209472627,-3040.324569702134,80.0
10,35,68,47,37,capital_based,,0.98,53162.01260375965,53.16201260375964,3.032123404080278,0.4565295594179652,-16.749539837910856,7.112389935083419,44,33,90516.60079193105,6,-15752.073219299346,74764.5275726317,84.61538461538461,4,12739.252639770493,1,-15779.577209472627,-3040.324569702134,80.0
13,35,68,50,40,capital_based,,0.98,52767.22653961176,52.767226539611755,3.013493657487998,0.546934965518257,-7.481030787132445,5.741721592441787,28,25,51731.39971160883,2,-1210.7382049560547,50520.661506652774,92.5925925925926,1,2246.5650329589844,0,0.0,2246.5650329589844,100.0
13,35,68,50,40,capital_based,,0.98,52767.22653961176,52.767226539611755,3.013493657487998,0.546934965518257,-7.481030787132445,5.741721592441787,28,25,51731.39971160883,2,-1210.7382049560547,50520.661506652774,92.5925925925926,1,2246.5650329589844,0,0.0,2246.5650329589844,100.0
