Window,Z_Long,Z_Short,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
5,-0.6,3.2,capital_based,,0.98,60559.11108398423,60.55911108398423,3.373175786439986,0.9493647532521834,-3.7475689992947876,3.643512077024396,98,80,80136.47784423818,18,-19577.36676025395,60559.11108398423,81.63265306122449,0,0.0,0,0,0.0,0.0
5,-0.6,2.8,capital_based,,0.98,60559.11108398423,60.55911108398423,3.373175786439986,0.9493647532521834,-3.7475689992947876,3.643512077024396,98,80,80136.47784423818,18,-19577.36676025395,60559.11108398423,81.63265306122449,0,0.0,0,0,0.0,0.0
5,-0.6,2.3,capital_based,,0.98,60559.11108398423,60.55911108398423,3.373175786439986,0.9493647532521834,-3.7475689992947876,3.643512077024396,98,80,80136.47784423818,18,-19577.36676025395,60559.11108398423,81.63265306122449,0,0.0,0,0,0.0,0.0
8,-0.6,3.2,capital_based,,0.98,44269.22850799555,44.26922850799554,2.601223861110813,0.9013976088706646,-3.273549339243088,2.9625353459126686,61,52,50800.872467041016,9,-6531.643959045468,44269.22850799555,85.24590163934425,0,0.0,0,0,0.0,0.0
8,-0.6,2.8,capital_based,,0.98,44269.22850799555,44.26922850799554,2.601223861110813,0.9013976088706646,-3.273549339243088,2.9625353459126686,61,52,50800.872467041016,9,-6531.643959045468,44269.22850799555,85.24590163934425,0,0.0,0,0,0.0,0.0
8,-0.6,2.3,capital_based,,0.98,44269.22850799555,44.26922850799554,2.601223861110813,0.9013976088706646,-3.273549339243088,2.9625353459126686,61,52,50800.872467041016,9,-6531.643959045468,44269.22850799555,85.24590163934425,0,0.0,0,0,0.0,0.0
5,-1.0,2.3,capital_based,,0.98,41294.32239532465,41.29432239532465,2.4515471377609455,0.7134982714801885,-6.373919694737058,3.5592928189166164,78,63,62714.388786315874,15,-21420.066390991225,41294.32239532465,80.76923076923077,0,0.0,0,0,0.0,0.0
5,-1.0,3.2,capital_based,,0.98,41294.32239532465,41.29432239532465,2.4515471377609455,0.7134982714801885,-6.373919694737058,3.5592928189166164,78,63,62714.388786315874,15,-21420.066390991225,41294.32239532465,80.76923076923077,0,0.0,0,0,0.0,0.0
5,-1.0,2.8,capital_based,,0.98,41294.32239532465,41.29432239532465,2.4515471377609455,0.7134982714801885,-6.373919694737058,3.5592928189166164,78,63,62714.388786315874,15,-21420.066390991225,41294.32239532465,80.76923076923077,0,0.0,0,0,0.0,0.0
3,-0.6,2.3,capital_based,,0.98,33129.53778839094,33.12953778839094,2.0251671747023137,0.38854781984297027,-16.11744006263736,5.685354629383426,206,155,117901.59310913067,51,-84772.05532073973,33129.53778839094,75.24271844660194,0,0.0,0,0,0.0,0.0
3,-0.6,2.8,capital_based,,0.98,33129.53778839094,33.12953778839094,2.0251671747023137,0.38854781984297027,-16.11744006263736,5.685354629383426,206,155,117901.59310913067,51,-84772.05532073973,33129.53778839094,75.24271844660194,0,0.0,0,0,0.0,0.0
3,-0.6,3.2,capital_based,,0.98,33129.53778839094,33.12953778839094,2.0251671747023137,0.38854781984297027,-16.11744006263736,5.685354629383426,206,155,117901.59310913067,51,-84772.05532073973,33129.53778839094,75.24271844660194,0,0.0,0,0,0.0,0.0
8,-1.0,2.3,capital_based,,0.98,28408.853080749454,28.408853080749452,1.7674120247221703,0.4912749136465428,-8.505574685207602,3.79443857965177,50,40,43131.15361785886,10,-14722.300537109404,28408.853080749454,80.0,0,0.0,0,0,0.0,0.0
8,-1.0,2.8,capital_based,,0.98,28408.853080749454,28.408853080749452,1.7674120247221703,0.4912749136465428,-8.505574685207602,3.79443857965177,50,40,43131.15361785886,10,-14722.300537109404,28408.853080749454,80.0,0,0.0,0,0,0.0,0.0
8,-1.0,3.2,capital_based,,0.98,28408.853080749454,28.408853080749452,1.7674120247221703,0.4912749136465428,-8.505574685207602,3.79443857965177,50,40,43131.15361785886,10,-14722.300537109404,28408.853080749454,80.0,0,0.0,0,0,0.0,0.0
3,-1.0,2.8,capital_based,,0.98,21857.197525024356,21.857197525024354,1.394683137327335,0.3034465982671893,-16.11744006263737,5.089820716457429,155,117,85032.01176452631,38,-63174.81423950195,21857.197525024356,75.48387096774194,0,0.0,0,0,0.0,0.0
3,-1.0,3.2,capital_based,,0.98,21857.197525024356,21.857197525024354,1.394683137327335,0.3034465982671893,-16.11744006263737,5.089820716457429,155,117,85032.01176452631,38,-63174.81423950195,21857.197525024356,75.48387096774194,0,0.0,0,0,0.0,0.0
3,-1.0,2.3,capital_based,,0.98,21857.197525024356,21.857197525024354,1.394683137327335,0.3034465982671893,-16.11744006263737,5.089820716457429,155,117,85032.01176452631,38,-63174.81423950195,21857.197525024356,75.48387096774194,0,0.0,0,0,0.0,0.0
8,-1.5,2.3,capital_based,,0.98,11734.302024841265,11.734302024841265,0.7804281900794185,0.33143000099951136,-5.642683641368827,2.4944146006735184,25,18,16330.230766296358,6,-5471.858062744155,10858.372703552202,75.0,1,875.9293212890625,0,0,875.9293212890625,100.0
5,-0.6,3.2,fixed,150.0,,11394.409561157227,11.394409561157225,0.758917776711665,0.9493647532521834,-3.7475689992947876,3.643512077024396,98,80,15224.905014038086,18,-3830.4954528808594,11394.409561157227,81.63265306122449,0,0.0,0,0,0.0,0.0
