RSI_Period,RSI_Oversold,RSI_Overbought,RSI_Exit_Long,RSI_Exit_Short,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
17,33,78,48,43,capital_based,,0.98,15296.794036865205,15.296794036865204,1.0022940624631493,0.4017249000263957,-5.756352220457716,2.611094716088144,6,2,4003.878601074204,1,-160.866943359375,3843.011657714829,66.66666666666666,3,11453.782379150376,0,0.0,11453.782379150376,100.0
17,33,78,45,43,capital_based,,0.98,12533.011993408145,12.533011993408143,0.8307367665904897,0.3498043848108461,-5.756352220457718,2.4963174825725623,6,2,2055.123077392549,1,-686.7471923828125,1368.3758850097365,66.66666666666666,3,11164.636108398408,0,0.0,11164.636108398408,100.0
17,30,78,42,43,capital_based,,0.98,11016.464569091797,11.016464569091797,0.734927388348483,0.3908982065003003,-3.3842356277089536,1.9542591304148975,3,0,0.0,0,0.0,0.0,0.0,3,11016.464569091797,0,0.0,11016.464569091797,100.0
17,27,78,45,43,capital_based,,0.98,11016.464569091797,11.016464569091797,0.734927388348483,0.3908982065003003,-3.3842356277089536,1.9542591304148975,3,0,0.0,0,0.0,0.0,0.0,3,11016.464569091797,0,0.0,11016.464569091797,100.0
17,27,78,48,43,capital_based,,0.98,11016.464569091797,11.016464569091797,0.734927388348483,0.3908982065003003,-3.3842356277089536,1.9542591304148975,3,0,0.0,0,0.0,0.0,0.0,3,11016.464569091797,0,0.0,11016.464569091797,100.0
17,27,78,42,43,capital_based,,0.98,11016.464569091797,11.016464569091797,0.734927388348483,0.3908982065003003,-3.3842356277089536,1.9542591304148975,3,0,0.0,0,0.0,0.0,0.0,3,11016.464569091797,0,0.0,11016.464569091797,100.0
17,30,78,48,43,capital_based,,0.98,11016.464569091797,11.016464569091797,0.734927388348483,0.3908982065003003,-3.3842356277089536,1.9542591304148975,3,0,0.0,0,0.0,0.0,0.0,3,11016.464569091797,0,0.0,11016.464569091797,100.0
17,30,78,45,43,capital_based,,0.98,11016.464569091797,11.016464569091797,0.734927388348483,0.3908982065003003,-3.3842356277089536,1.9542591304148975,3,0,0.0,0,0.0,0.0,0.0,3,11016.464569091797,0,0.0,11016.464569091797,100.0
17,33,78,42,43,capital_based,,0.98,10999.034538268985,10.999034538268985,0.7338191707406239,0.3124428990738433,-5.883395041227802,2.477884859004042,6,1,1944.2627563476271,2,-1961.6927871704247,-17.430030822797562,33.33333333333333,3,11016.464569091782,0,0.0,11016.464569091782,100.0
23,30,75,42,37,capital_based,,0.98,8372.863037109375,8.372863037109376,0.5649670987549538,0.36420616136064005,-1.9702380796873338,1.6856990676411558,1,0,0.0,0,0.0,0.0,0.0,1,8372.863037109375,0,0.0,8372.863037109375,100.0
23,27,75,42,37,capital_based,,0.98,8372.863037109375,8.372863037109376,0.5649670987549538,0.36420616136064005,-1.9702380796873338,1.6856990676411558,1,0,0.0,0,0.0,0.0,0.0,1,8372.863037109375,0,0.0,8372.863037109375,100.0
23,30,75,45,37,capital_based,,0.98,8372.863037109375,8.372863037109376,0.5649670987549538,0.36420616136064005,-1.9702380796873338,1.6856990676411558,1,0,0.0,0,0.0,0.0,0.0,1,8372.863037109375,0,0.0,8372.863037109375,100.0
23,30,75,48,37,capital_based,,0.98,8372.863037109375,8.372863037109376,0.5649670987549538,0.36420616136064005,-1.9702380796873338,1.6856990676411558,1,0,0.0,0,0.0,0.0,0.0,1,8372.863037109375,0,0.0,8372.863037109375,100.0
23,33,75,42,37,capital_based,,0.98,8372.863037109375,8.372863037109376,0.5649670987549538,0.36420616136064005,-1.9702380796873338,1.6856990676411558,1,0,0.0,0,0.0,0.0,0.0,1,8372.863037109375,0,0.0,8372.863037109375,100.0
23,33,75,48,37,capital_based,,0.98,8372.863037109375,8.372863037109376,0.5649670987549538,0.36420616136064005,-1.9702380796873338,1.6856990676411558,1,0,0.0,0,0.0,0.0,0.0,1,8372.863037109375,0,0.0,8372.863037109375,100.0
23,27,75,45,37,capital_based,,0.98,8372.863037109375,8.372863037109376,0.5649670987549538,0.36420616136064005,-1.9702380796873338,1.6856990676411558,1,0,0.0,0,0.0,0.0,0.0,1,8372.863037109375,0,0.0,8372.863037109375,100.0
23,27,75,48,37,capital_based,,0.98,8372.863037109375,8.372863037109376,0.5649670987549538,0.36420616136064005,-1.9702380796873338,1.6856990676411558,1,0,0.0,0,0.0,0.0,0.0,1,8372.863037109375,0,0.0,8372.863037109375,100.0
23,33,75,45,37,capital_based,,0.98,8372.863037109375,8.372863037109376,0.5649670987549538,0.36420616136064005,-1.9702380796873338,1.6856990676411558,1,0,0.0,0,0.0,0.0,0.0,1,8372.863037109375,0,0.0,8372.863037109375,100.0
20,33,78,48,37,capital_based,,0.98,8354.121070861816,8.354121070861817,0.5637484494511069,0.38338365188901297,-3.3842356277089607,1.5199243441561876,2,1,3575.452033996582,0,0.0,3575.452033996582,100.0,1,4778.669036865234,0,0.0,4778.669036865234,100.0
20,33,78,48,40,capital_based,,0.98,8354.121070861816,8.354121070861817,0.5637484494511069,0.38338365188901297,-3.3842356277089607,1.5199243441561876,2,1,3575.452033996582,0,0.0,3575.452033996582,100.0,1,4778.669036865234,0,0.0,4778.669036865234,100.0
