Window,Pct_Long,Pct_Short,Min_Candles,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
4,0.4,1.4,2,capital_based,,0.98,41516.04736328128,41.51604736328128,2.46280340080256,0.3431448631401977,-14.844431765924131,8.165137958613917,180,114,142042.3386535646,42,-102718.3200683594,39324.018585205195,73.07692307692307,16,16433.078186035083,8,-14241.049407958984,2192.028778076099,66.66666666666666
5,0.5,1.3,2,capital_based,,0.98,41331.88240814206,41.331882408142064,2.453455093817891,0.3218720993219965,-22.41037487351863,8.686134704962148,178,98,118673.95510101326,42,-90522.87242889404,28151.082672119213,70.0,23,28963.479652404712,15,-15782.679916381865,13180.799736022847,60.526315789473685
4,0.4,1.3,2,capital_based,,0.98,36771.35009002677,36.771350090026765,2.2182706483649284,0.31237344064043204,-16.004588701219248,8.199064573781333,184,114,139482.80046081552,42,-100829.81430053712,38652.98616027839,73.07692307692307,16,16782.85208129871,12,-18664.48815155035,-1881.6360702516395,57.14285714285714
5,0.6,1.3,2,capital_based,,0.98,36554.67594909665,36.55467594909665,2.2069162771171102,0.29662995980726925,-23.468870309265483,8.557241879970617,165,89,107493.3196945191,38,-83424.80564880371,24068.51404571539,70.07874015748031,23,28082.67166137688,15,-15596.50975799562,12486.16190338126,60.526315789473685
4,0.6,1.4,2,capital_based,,0.98,34191.6340713501,34.191634071350094,2.0819861676436346,0.3017342917237704,-15.948692085061655,7.969633181585562,155,91,123367.9109420778,40,-91204.88004302983,32163.030899047968,69.46564885496184,16,15973.902267455967,8,-13945.299095153838,2028.6031723021297,66.66666666666666
5,0.4,1.3,2,capital_based,,0.98,34040.211112976074,34.040211112976074,2.0739111056573556,0.2756618194719834,-21.18017355816955,8.812538658590345,188,104,118261.71913146978,46,-96788.72672271727,21472.992408752514,69.33333333333334,23,28018.596122741626,15,-15451.377418518066,12567.21870422356,60.526315789473685
4,0.5,1.4,2,capital_based,,0.98,32375.189109802304,32.37518910980231,1.9845551722429633,0.2873429712466136,-15.501594470001395,8.059438512549931,162,98,124377.39646148693,40,-93999.64015197754,30377.756309509394,71.01449275362319,16,15804.026115417451,8,-13806.59331512454,1997.4328002929105,66.66666666666666
5,0.5,1.4,2,capital_based,,0.98,30875.793739318833,30.875793739318837,1.9031888928016993,0.259469308610663,-24.114834097527655,8.630305777447695,173,98,113669.73470306405,42,-87164.0682220459,26505.666481018154,70.0,18,19620.182632446245,15,-15250.055374145566,4370.127258300679,54.54545454545454
4,0.6,1.3,2,capital_based,,0.98,29715.447685241685,29.715447685241685,1.839624285375585,0.27036035336651065,-15.94869208506161,8.004341095182875,159,91,121171.78935241715,40,-89513.29693603519,31658.492416381967,69.46564885496184,16,16367.664505004796,12,-18310.709236145078,-1943.0447311402822,57.14285714285714
4,0.5,1.3,2,capital_based,,0.98,27984.750991821275,27.984750991821272,1.743826012757621,0.2563913707998558,-15.501594470001438,8.093750838483366,166,98,122201.41709899913,40,-92241.77611541748,29959.640983581645,71.01449275362319,16,16165.581756591739,12,-18140.47174835211,-1974.8899917603703,57.14285714285714
5,0.6,1.4,2,capital_based,,0.98,26445.213188171372,26.445213188171373,1.657590956912336,0.2331403422709389,-25.150076910181056,8.500499554499221,160,89,102856.7700500489,38,-80351.86993408203,22504.90011596687,70.07874015748031,18,19012.700988769488,15,-15072.387916564985,3940.3130722045025,54.54545454545454
5,0.4,1.4,2,capital_based,,0.98,24137.81130981444,24.13781130981444,1.5264990117540567,0.21384778074907781,-22.911657374395862,8.757423130262856,183,104,113374.17875671391,46,-93155.12701416014,20219.05174255377,69.33333333333334,19,18844.512428283662,14,-14925.752861022993,3918.7595672606694,57.57575757575758
5,0.5,1.3,2,fixed,150.0,,12336.313247680664,12.336313247680664,0.8183781373412469,0.3218720993219965,-22.41037487351863,8.686134704962148,178,98,27643.746185302734,42,-20467.995071411133,7175.751113891602,70.0,23,8229.740524291992,15,-3069.1783905029297,5160.5621337890625,60.526315789473685
5,0.6,1.3,2,fixed,150.0,,11725.830459594727,11.725830459594727,0.779892798977122,0.29662995980726925,-23.468870309265483,8.557241879970617,165,89,25869.639587402344,38,-19304.37126159668,6565.268325805664,70.07874015748031,23,8229.740524291992,15,-3069.1783905029297,5160.5621337890625,60.526315789473685
