Date,Close,High,Low,Open,Volume
2006-11-01,95.9736099243164,96.99042594712387,95.87543480556849,96.92731566370422,83005600
2006-11-02,95.91752624511719,96.07881167741266,95.62300083385647,95.72818465920408,60693100
2006-11-03,95.74920654296875,96.34527666139732,95.10405421376878,96.26112961419734,71346400
2006-11-06,96.8291244506836,96.96937306840012,96.036704245174,96.04372363124418,63303300
2006-11-07,97.2008056640625,97.46026618872907,96.77304034755825,96.91328899061354,63318900
2006-11-08,97.41118621826172,97.50936134068603,95.97361351825282,96.7730425723609,87517800
2006-11-09,96.89927673339844,97.57248531035358,96.70292646101304,97.48131886235775,95916300
2006-11-10,96.94135284423828,97.01147182119615,96.5766977830835,96.87122316699399,48991500
2006-11-13,97.17974090576172,97.50231162182979,96.82210536396039,96.89923300017809,59398200
2006-11-14,97.90910339355469,97.99326116980963,96.85722214282792,97.45329246502219,96704000
2006-11-15,98.18958282470703,98.4911168924427,97.84596453098115,97.8740206816413,76509600
2006-11-16,98.44204711914062,98.652414774244,97.8179314416628,98.48412065016129,76728800
2006-11-17,98.47010803222656,98.47711672173445,97.98624094894953,98.12648964113247,56353800
2006-11-20,98.52617645263672,98.69448124672272,98.13347596672173,98.3859278077079,69174200
2006-11-21,98.62434387207031,98.6453806321525,98.37890073739842,98.51916007165944,51367900
2006-11-22,98.82071685791016,98.98902167761271,98.52619144864619,98.70150495656193,45505300
2006-11-24,98.42098999023438,98.76459755600224,98.31579548415988,98.34385163256059,30998000
2006-11-27,97.06755828857422,98.42098380630655,97.03951284222107,98.37189089983262,84545100
2006-11-28,97.48831939697266,97.58649451417865,96.850175784991,96.94134221535559,106652900
2006-11-29,98.50514221191406,98.5472157364409,97.53039965932687,97.80388826903736,90034900
2006-11-30,98.54720306396484,98.91185806344875,98.00723460130584,98.48409278529012,83994300
2006-12-01,98.32980346679688,98.63835683444583,97.45323626337749,98.54719042119957,126080000
2006-12-04,99.0802001953125,99.262533133631,98.3368724629704,98.35090054290794,87813200
2006-12-05,99.50794982910156,99.55003406221005,99.059147645204,99.26952600959402,73374400
2006-12-06,99.42378234863281,99.62715198255727,99.22743210226251,99.48689263490485,53253200
2006-12-07,98.9889907836914,99.7884197022783,98.95392595299433,99.5990781767413,62857400
2006-12-08,99.17132568359375,99.50792456097207,98.72252361366088,98.96796675983832,79625500
2006-12-11,99.4588623046875,99.64118450395091,99.11524397116173,99.17134557869375,39779400
2006-12-12,99.3816909790039,99.48687477057001,98.79964903167549,99.36065422069069,77451600
2006-12-13,99.48690795898438,99.81649821622008,99.26952091703903,99.7393598432439,55520200
