RSI_Period,RSI_Oversold,RSI_Overbought,RSI_Exit_Long,RSI_Exit_Short,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
10,35,68,53,43,capital_based,,0.98,77323.3701248169,77.32337012481689,4.094993708268779,0.5879956237377473,-10.742732101356829,7.2380449071479145,42,32,89225.67292785642,4,-8042.832443237305,81182.84048461911,88.88888888888889,4,8852.55702972415,2,-12712.027389526367,-3859.470359802217,66.66666666666666
10,35,68,53,43,capital_based,,0.98,77323.3701248169,77.32337012481689,4.094993708268779,0.5879956237377473,-10.742732101356829,7.2380449071479145,42,32,89225.67292785642,4,-8042.832443237305,81182.84048461911,88.88888888888889,4,8852.55702972415,2,-12712.027389526367,-3859.470359802217,66.66666666666666
10,35,68,47,43,capital_based,,0.98,68733.28089904774,68.73328089904773,3.7334616868038406,0.5854230356425519,-12.77941188001172,6.584011115908705,45,33,87097.34249114982,6,-15337.402145385742,71759.94034576407,84.61538461538461,4,9087.545944213853,2,-12114.20539093019,-3026.6594467163377,66.66666666666666
10,35,68,47,43,capital_based,,0.98,68733.28089904774,68.73328089904773,3.7334616868038406,0.5854230356425519,-12.77941188001172,6.584011115908705,45,33,87097.34249114982,6,-15337.402145385742,71759.94034576407,84.61538461538461,4,9087.545944213853,2,-12114.20539093019,-3026.6594467163377,66.66666666666666
10,35,68,53,40,capital_based,,0.98,63458.351470947266,63.458351470947264,3.502875811924766,0.4924938055853906,-16.749541658127818,7.545061153390238,42,32,89639.49420928952,4,-8054.712799072266,81584.78141021726,88.88888888888889,4,9199.096183776885,2,-27325.526123046875,-18126.42993926999,66.66666666666666
10,35,68,53,40,capital_based,,0.98,63458.351470947266,63.458351470947264,3.502875811924766,0.4924938055853906,-16.749541658127818,7.545061153390238,42,32,89639.49420928952,4,-8054.712799072266,81584.78141021726,88.88888888888889,4,9199.096183776885,2,-27325.526123046875,-18126.42993926999,66.66666666666666
10,35,68,53,37,capital_based,,0.98,60936.92510223389,60.936925102233886,3.390200458648107,0.472490934130278,-16.74954165812779,7.721935848502199,41,32,92233.14012145996,4,-8235.745880126953,83997.39424133301,88.88888888888889,4,12547.26538848877,1,-16101.10464477539,-3553.839256286621,80.0
10,35,68,53,37,capital_based,,0.98,60936.92510223389,60.936925102233886,3.390200458648107,0.472490934130278,-16.74954165812779,7.721935848502199,41,32,92233.14012145996,4,-8235.745880126953,83997.39424133301,88.88888888888889,4,12547.26538848877,1,-16101.10464477539,-3553.839256286621,80.0
13,35,68,53,40,capital_based,,0.98,60363.70980834961,60.36370980834961,3.3643561908001995,0.5453185633585722,-7.481051093625991,6.47891857979914,26,24,60284.83454895018,1,-2205.0521087646484,58079.78244018553,96.0,1,2283.927368164077,0,0.0,2283.927368164077,100.0
13,35,68,53,40,capital_based,,0.98,60363.70980834961,60.36370980834961,3.3643561908001995,0.5453185633585722,-7.481051093625991,6.47891857979914,26,24,60284.83454895018,1,-2205.0521087646484,58079.78244018553,96.0,1,2283.927368164077,0,0.0,2283.927368164077,100.0
