Window,Pct_Long,Pct_Short,Min_Candles,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
5,1.0,0.5,0,capital_based,,0.98,32297.704330444336,32.29770433044434,1.9803714297991215,0.22295416708004828,-24.608030234159347,11.613212309927812,46,15,52959.50755691528,7,-56810.86363983154,-3851.3560829162598,68.18181818181817,19,57543.42858505249,5,-21394.368171691895,36149.060413360596,79.16666666666666
5,1.0,0.6,0,capital_based,,0.98,32297.704330444336,32.29770433044434,1.9803714297991215,0.22295416708004828,-24.608030234159347,11.613212309927812,46,15,52959.50755691528,7,-56810.86363983154,-3851.3560829162598,68.18181818181817,19,57543.42858505249,5,-21394.368171691895,36149.060413360596,79.16666666666666
5,0.9,0.5,0,capital_based,,0.98,30035.986011505127,30.035986011505127,1.8572363011681636,0.21214596434969335,-24.608030234159365,11.627502178272236,47,15,51749.41643142697,8,-57893.72253417969,-6144.306102752715,65.21739130434783,19,57343.28003692627,5,-21162.987922668428,36180.29211425784,79.16666666666666
5,0.9,0.6,0,capital_based,,0.98,30035.986011505127,30.035986011505127,1.8572363011681636,0.21214596434969335,-24.608030234159365,11.627502178272236,47,15,51749.41643142697,8,-57893.72253417969,-6144.306102752715,65.21739130434783,19,57343.28003692627,5,-21162.987922668428,36180.29211425784,79.16666666666666
4,0.9,0.6,0,capital_based,,0.98,19833.760749816895,19.833760749816896,1.2757966958917288,0.16396452105163814,-23.7463693535868,10.95377252405311,47,14,47992.523265838594,8,-49026.14118194583,-1033.617916107236,63.63636363636363,18,43582.90382766728,7,-22715.52516174315,20867.37866592413,72.0
4,1.0,0.6,0,capital_based,,0.98,19833.760749816895,19.833760749816896,1.2757966958917288,0.16396452105163814,-23.7463693535868,10.95377252405311,47,14,47992.523265838594,8,-49026.14118194583,-1033.617916107236,63.63636363636363,18,43582.90382766728,7,-22715.52516174315,20867.37866592413,72.0
4,0.9,0.5,0,capital_based,,0.98,17842.250366210938,17.842250366210937,1.1569490442633557,0.15299209037689,-23.7463693535868,10.958660875176927,47,14,47366.364810943574,8,-48449.506435394316,-1083.1416244507418,63.63636363636363,18,43253.13856506352,7,-24327.74657440184,18925.39199066168,72.0
4,1.0,0.5,0,capital_based,,0.98,17842.250366210938,17.842250366210937,1.1569490442633557,0.15299209037689,-23.7463693535868,10.958660875176927,47,14,47366.364810943574,8,-48449.506435394316,-1083.1416244507418,63.63636363636363,18,43253.13856506352,7,-24327.74657440184,18925.39199066168,72.0
5,1.0,0.5,0,fixed,150.0,,5640.27214050293,5.64027214050293,0.38518414481079066,0.22295416708004828,-24.608030234159347,11.613212309927812,46,15,9875.285339355469,7,-10268.066596984863,-392.78125762939453,68.18181818181817,19,9144.202995300293,5,-3111.1495971679688,6033.053398132324,79.16666666666666
5,1.0,0.6,0,fixed,150.0,,5640.27214050293,5.64027214050293,0.38518414481079066,0.22295416708004828,-24.608030234159347,11.613212309927812,46,15,9875.285339355469,7,-10268.066596984863,-392.78125762939453,68.18181818181817,19,9144.202995300293,5,-3111.1495971679688,6033.053398132324,79.16666666666666
5,0.9,0.5,0,fixed,150.0,,5103.073883056641,5.1030738830566404,0.34933273677744126,0.21214596434969335,-24.608030234159365,11.627502178272236,47,15,9451.715469360352,8,-10381.694984436035,-929.9795150756836,65.21739130434783,19,9144.202995300293,5,-3111.1495971679688,6033.053398132324,79.16666666666666
5,0.9,0.6,0,fixed,150.0,,5103.073883056641,5.1030738830566404,0.34933273677744126,0.21214596434969335,-24.608030234159365,11.627502178272236,47,15,9451.715469360352,8,-10381.694984436035,-929.9795150756836,65.21739130434783,19,9144.202995300293,5,-3111.1495971679688,6033.053398132324,79.16666666666666
4,0.9,0.6,0,fixed,150.0,,3429.041290283203,3.429041290283203,0.2365083405432733,0.16396452105163814,-23.7463693535868,10.95377252405311,47,14,9121.155166625977,8,-8927.478790283203,193.67637634277344,63.63636363636363,18,6648.575592041016,7,-3413.210678100586,3235.3649139404297,72.0
4,1.0,0.6,0,fixed,150.0,,3429.041290283203,3.429041290283203,0.2365083405432733,0.16396452105163814,-23.7463693535868,10.95377252405311,47,14,9121.155166625977,8,-8927.478790283203,193.67637634277344,63.63636363636363,18,6648.575592041016,7,-3413.210678100586,3235.3649139404297,72.0
4,0.9,0.5,0,fixed,150.0,,3272.3922729492188,3.2723922729492183,0.22586397858372909,0.15299209037689,-23.7463693535868,10.958660875176927,47,14,9121.155166625977,8,-8927.478790283203,193.67637634277344,63.63636363636363,18,6648.575592041016,7,-3569.8596954345703,3078.7158966064453,72.0
4,1.0,0.5,0,fixed,150.0,,3272.3922729492188,3.2723922729492183,0.22586397858372909,0.15299209037689,-23.7463693535868,10.958660875176927,47,14,9121.155166625977,8,-8927.478790283203,193.67637634277344,63.63636363636363,18,6648.575592041016,7,-3569.8596954345703,3078.7158966064453,72.0
