RSI_Period,RSI_Oversold,RSI_Overbought,RSI_Exit_Long,RSI_Exit_Short,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
17,33,78,48,43,capital_based,,0.98,15296.879760742188,15.296879760742188,1.0022993240671685,0.40172900793250516,-5.756352692085044,2.611084285517964,6,2,4003.9093017578125,1,-160.818603515625,3843.0906982421875,66.66666666666666,3,11453.7890625,0,0.0,11453.7890625,100.0
17,33,78,45,43,capital_based,,0.98,12532.979934692383,12.532979934692381,0.8307347539709964,0.34980502008001524,-5.75635269208505,2.4963076214628543,6,2,2055.1005096435547,1,-686.7632446289062,1368.3372650146484,66.66666666666666,3,11164.642669677734,0,0.0,11164.642669677734,100.0
17,30,78,42,43,capital_based,,0.98,11016.470977783203,11.016470977783204,0.7349277957892975,0.39090214047231775,-3.3841974964157195,1.9542416042706579,3,0,0.0,0,0.0,0.0,0.0,3,11016.470977783203,0,0.0,11016.470977783203,100.0
17,27,78,45,43,capital_based,,0.98,11016.470977783203,11.016470977783204,0.7349277957892975,0.39090214047231775,-3.3841974964157195,1.9542416042706579,3,0,0.0,0,0.0,0.0,0.0,3,11016.470977783203,0,0.0,11016.470977783203,100.0
17,27,78,48,43,capital_based,,0.98,11016.470977783203,11.016470977783204,0.7349277957892975,0.39090214047231775,-3.3841974964157195,1.9542416042706579,3,0,0.0,0,0.0,0.0,0.0,3,11016.470977783203,0,0.0,11016.470977783203,100.0
17,27,78,42,43,capital_based,,0.98,11016.470977783203,11.016470977783204,0.7349277957892975,0.39090214047231775,-3.3841974964157195,1.9542416042706579,3,0,0.0,0,0.0,0.0,0.0,3,11016.470977783203,0,0.0,11016.470977783203,100.0
17,30,78,48,43,capital_based,,0.98,11016.470977783203,11.016470977783204,0.7349277957892975,0.39090214047231775,-3.3841974964157195,1.9542416042706579,3,0,0.0,0,0.0,0.0,0.0,3,11016.470977783203,0,0.0,11016.470977783203,100.0
17,30,78,45,43,capital_based,,0.98,11016.470977783203,11.016470977783204,0.7349277957892975,0.39090214047231775,-3.3841974964157195,1.9542416042706579,3,0,0.0,0,0.0,0.0,0.0,3,11016.470977783203,0,0.0,11016.470977783203,100.0
17,33,78,42,43,capital_based,,0.98,10999.047439575195,10.999047439575195,0.7338199910775556,0.3124446005336272,-5.883409982612875,2.4778758532373857,6,1,1944.276275634751,2,-1961.6998138427589,-17.423538208007812,33.33333333333333,3,11016.470977783203,0,0.0,11016.470977783203,100.0
23,30,75,42,37,capital_based,,0.98,8372.857055664077,8.372857055664078,0.5649667098577726,0.3642087193613125,-1.9702051657250732,1.6856860071891884,1,0,0.0,0,0.0,0.0,0.0,1,8372.857055664077,0,0.0,8372.857055664077,100.0
23,27,75,42,37,capital_based,,0.98,8372.857055664077,8.372857055664078,0.5649667098577726,0.3642087193613125,-1.9702051657250732,1.6856860071891884,1,0,0.0,0,0.0,0.0,0.0,1,8372.857055664077,0,0.0,8372.857055664077,100.0
23,30,75,45,37,capital_based,,0.98,8372.857055664077,8.372857055664078,0.5649667098577726,0.3642087193613125,-1.9702051657250732,1.6856860071891884,1,0,0.0,0,0.0,0.0,0.0,1,8372.857055664077,0,0.0,8372.857055664077,100.0
23,30,75,48,37,capital_based,,0.98,8372.857055664077,8.372857055664078,0.5649667098577726,0.3642087193613125,-1.9702051657250732,1.6856860071891884,1,0,0.0,0,0.0,0.0,0.0,1,8372.857055664077,0,0.0,8372.857055664077,100.0
23,33,75,42,37,capital_based,,0.98,8372.857055664077,8.372857055664078,0.5649667098577726,0.3642087193613125,-1.9702051657250732,1.6856860071891884,1,0,0.0,0,0.0,0.0,0.0,1,8372.857055664077,0,0.0,8372.857055664077,100.0
23,33,75,48,37,capital_based,,0.98,8372.857055664077,8.372857055664078,0.5649667098577726,0.3642087193613125,-1.9702051657250732,1.6856860071891884,1,0,0.0,0,0.0,0.0,0.0,1,8372.857055664077,0,0.0,8372.857055664077,100.0
23,27,75,45,37,capital_based,,0.98,8372.857055664077,8.372857055664078,0.5649667098577726,0.3642087193613125,-1.9702051657250732,1.6856860071891884,1,0,0.0,0,0.0,0.0,0.0,1,8372.857055664077,0,0.0,8372.857055664077,100.0
23,27,75,48,37,capital_based,,0.98,8372.857055664077,8.372857055664078,0.5649667098577726,0.3642087193613125,-1.9702051657250732,1.6856860071891884,1,0,0.0,0,0.0,0.0,0.0,1,8372.857055664077,0,0.0,8372.857055664077,100.0
23,33,75,45,37,capital_based,,0.98,8372.857055664077,8.372857055664078,0.5649667098577726,0.3642087193613125,-1.9702051657250732,1.6856860071891884,1,0,0.0,0,0.0,0.0,0.0,1,8372.857055664077,0,0.0,8372.857055664077,100.0
20,33,78,48,37,capital_based,,0.98,8354.145767211929,8.354145767211929,0.5637500553982377,0.38338670734517616,-3.38419749641569,1.5199168752745262,2,1,3575.4451446533203,0,0.0,3575.4451446533203,100.0,1,4778.700622558608,0,0.0,4778.700622558608,100.0
20,33,78,48,40,capital_based,,0.98,8354.145767211929,8.354145767211929,0.5637500553982377,0.38338670734517616,-3.38419749641569,1.5199168752745262,2,1,3575.4451446533203,0,0.0,3575.4451446533203,100.0,1,4778.700622558608,0,0.0,4778.700622558608,100.0
