Window,Pct_Long,Pct_Short,Min_Candles,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
5,0.4,1.2,1,capital_based,,0.98,85445.16088867211,85.4451608886721,4.422137476991006,0.6892227146288713,-10.104068899304988,6.723586663300321,191,93,132889.14968872088,30,-65780.5880508422,67108.56163787868,75.60975609756098,45,74893.18391418463,23,-55235.368843078686,19657.815071105942,66.17647058823529
5,0.4,1.1,1,capital_based,,0.98,74520.21311950695,74.52021311950695,3.9788416515131875,0.6007121791323076,-12.627111679272108,7.034586389777505,215,91,129050.75143432633,30,-64399.59651947013,64651.154914856204,75.20661157024794,55,92697.89674377449,39,-81586.26651763936,11111.630226135123,58.51063829787234
5,0.5,1.2,1,capital_based,,0.98,65858.52167510998,65.85852167510998,3.6086409298774935,0.581218608701599,-14.039199372900447,6.583985561700964,167,72,105066.85107421887,27,-55864.42243194573,49202.42864227314,72.72727272727273,45,70535.84638977055,23,-52700.096374511835,17835.750015258716,66.17647058823529
5,0.5,1.1,1,capital_based,,0.98,57419.61075592053,57.41961075592052,3.2302480450581594,0.5037648616972469,-16.194353117820253,6.903048321613535,192,71,103584.05509185801,27,-55272.48373413079,48311.571357727225,72.44897959183673,55,88580.2214202881,39,-78350.19715881355,10230.024261474551,58.51063829787234
5,0.6,1.2,1,capital_based,,0.98,54829.50517272961,54.82950517272961,3.1103220615851024,0.5241573223417069,-13.116271954498487,6.327955854588286,149,59,84652.3096923829,22,-46275.03771972649,38377.27197265641,72.8395061728395,45,67264.21718597416,23,-49710.970802307216,17553.24638366695,66.17647058823529
5,0.6,1.1,1,capital_based,,0.98,48557.34156799328,48.55734156799328,2.8119981027691754,0.45720011277550276,-14.345668687904942,6.662380058505492,175,59,84983.34622192393,22,-46123.22090911855,38860.12531280538,72.8395061728395,55,84829.82216644291,39,-74076.1575469972,10753.664619445713,58.51063829787234
5,0.4,1.0,1,capital_based,,0.98,42972.37466430664,42.97237466430664,2.536331391390778,0.38395168240094923,-14.177470308163803,7.290073070149225,230,91,117676.850997925,30,-57627.100234985235,60049.75076293976,75.20661157024794,55,81912.76890563968,54,-97973.01853942905,-16060.249633789368,50.45871559633027
4,0.6,1.2,1,capital_based,,0.98,34816.90849304199,34.81690849304199,2.1152412257122277,0.49563248234353074,-10.929222927006277,4.518929208220694,98,52,66870.73217010495,14,-29752.84248352048,37117.88968658447,78.78787878787878,19,19256.84780120854,13,-21557.82899475102,-2300.9811935424805,59.375
4,0.4,1.2,1,capital_based,,0.98,33233.72276306164,33.23372276306164,2.0307593722223904,0.3598062431366582,-15.802881373778707,6.244138600370257,143,83,98640.36798095702,28,-63021.598739623936,35618.76924133308,74.77477477477478,19,19215.682807922392,13,-21600.729286193833,-2385.0464782714407,59.375
4,0.6,1.1,1,capital_based,,0.98,30293.298408508243,30.29329840850824,1.8713451729784003,0.40495487439755967,-11.01982715451021,4.934786496321335,114,52,66291.74746704096,14,-29299.676193237276,36992.07127380368,78.78787878787878,27,26973.149436950684,21,-33671.92230224612,-6698.772865295439,56.25
4,0.4,1.1,1,capital_based,,0.98,29887.58251953125,29.887582519531247,1.8490872786714796,0.315568740013461,-16.134977070776824,6.547290494454818,159,83,97533.523071289,28,-61933.87216949457,35599.65090179443,74.77477477477478,27,26804.4014663696,21,-32516.469848632783,-5712.068382263184,56.25
5,0.5,1.0,1,capital_based,,0.98,27578.527854919434,27.578527854919432,1.7211660723408961,0.2745945411686727,-21.47432347733918,7.169334188042467,207,71,94980.3697891236,27,-49535.555397033604,45444.81439208999,72.44897959183673,55,77149.13855743414,54,-94108.39994812032,-16959.26139068618,50.45871559633027
4,0.5,1.2,1,capital_based,,0.98,27245.11347198492,27.245113471984922,1.7025173589883202,0.3231525816773645,-15.80288137377873,5.86145802232767,118,66,79972.60881042478,20,-50455.458580017075,29517.1502304077,76.74418604651163,19,18657.228279113828,13,-20929.265037536607,-2272.036758422779,59.375
3,0.4,1.2,1,capital_based,,0.98,24396.771072387754,24.396771072387754,1.5413238249509353,0.3572256132559963,-16.185831123899806,4.690931793114079,98,68,64680.93870544428,19,-40320.22498321526,24360.71372222902,78.16091954022988,6,6605.498901367202,5,-6569.441551208467,36.05735015873506,54.54545454545454
3,0.5,1.2,1,capital_based,,0.98,24073.201446533145,24.073201446533147,1.5227957725079122,0.48778764447470374,-8.00644064948112,3.285695393340031,67,42,42045.21923065178,13,-19585.34164428708,22459.877586364702,76.36363636363637,7,8125.656875610337,5,-6512.3330154418945,1613.3238601684425,58.333333333333336
4,0.5,1.1,1,capital_based,,0.98,24037.38377380377,24.037383773803768,1.5207420406244232,0.2771285642964013,-16.03943614059383,6.183359182308371,134,66,79191.1983337402,20,-49568.72970581052,29622.468627929688,76.74418604651163,27,26039.46741485597,21,-31624.55226898189,-5585.084854125918,56.25
3,0.4,1.0,1,capital_based,,0.98,22771.490936279297,22.771490936279296,1.4478011277060165,0.32821756442187844,-18.84773710698005,4.8560735146373615,110,68,65873.91332244867,18,-35719.6359176635,30154.27740478517,79.06976744186046,12,12298.684379577579,12,-19681.470848083452,-7382.786468505874,50.0
3,0.4,1.1,1,capital_based,,0.98,22124.740600585938,22.124740600585938,1.410264924135607,0.32751101462682625,-18.847737106980038,4.728165561810977,102,68,66441.1013336181,18,-35981.09837341301,30460.002960205093,79.06976744186046,9,6667.44582366939,7,-15002.708183288545,-8335.262359619155,56.25
3,0.6,1.2,1,capital_based,,0.98,22037.85102081299,22.037851020812987,1.4052079332242062,0.4871743906032438,-7.450688324497031,3.0292037086957295,53,32,35929.41519927977,9,-15489.406379699692,20440.008819580078,78.04878048780488,7,8039.920219421372,5,-6442.078018188462,1597.8422012329102,58.333333333333336
3,0.5,1.0,1,capital_based,,0.98,21100.343421935977,21.10034342193598,1.350430813604686,0.4076287926219301,-9.458646786381156,3.5310040358605326,79,42,42754.9658584594,12,-14733.324111938447,28021.641746520952,77.77777777777779,13,12421.5555038452,12,-19342.853828430176,-6921.2983245849755,52.0
