Window,Pct_Long,Pct_Short,Min_Candles,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
5,0.6,1.3,3,capital_based,,0.98,94762.76608276356,94.76276608276356,4.781424266286893,0.5917749040427078,-12.772014736811968,8.560777593004842,125,52,108189.81430053711,22,-50485.603698730585,57704.210601806524,70.27027027027027,37,75541.31941986078,14,-36327.04830169672,39214.27111816406,72.54901960784314
5,0.5,1.3,3,capital_based,,0.98,89249.07899093616,89.24907899093616,4.570800547928355,0.5659600279542176,-12.772014736811983,8.591784144810468,126,52,104756.09474945068,23,-52227.52178955088,52528.5729598998,69.33333333333334,37,74810.90591812127,14,-35995.351669311465,38815.5542488098,72.54901960784314
5,0.6,1.4,3,capital_based,,0.98,86965.89189147938,86.96589189147937,4.481907247518446,0.559514590582366,-12.772014736811968,8.524716808494533,123,52,107093.42008972168,22,-50239.999206543085,56853.420883178595,70.27027027027027,35,68271.17728424066,14,-36087.92502593988,32183.25225830078,71.42857142857143
5,0.5,1.4,3,capital_based,,0.98,81665.90296554554,81.66590296554553,4.271602906113592,0.5337014159899702,-12.772014736811983,8.555826074786687,124,52,103808.53980255127,23,-51949.00308227549,51859.53672027578,69.33333333333334,35,67578.1069068908,14,-35761.62683105463,31816.480075836167,71.42857142857143
4,0.5,1.3,3,capital_based,,0.98,45206.50447845436,45.206504478454356,2.6477868020649,0.37782688756090965,-17.89535429915328,7.947307144438338,120,57,95821.36728668203,18,-51068.617370605585,44752.74991607644,76.0,30,47357.33067321773,15,-46903.576110839815,453.75456237791514,66.66666666666666
4,0.6,1.3,3,capital_based,,0.98,43181.11278533924,43.18111278533924,2.5468131769602387,0.3684523597457447,-17.895354299153297,7.85207798111235,114,53,92126.7994689941,16,-49529.91233825691,42596.88713073719,76.81159420289855,30,47102.539016723604,15,-46518.31336212155,584.2256546020508,66.66666666666666
4,0.5,1.4,3,capital_based,,0.98,39087.34442901588,39.08734442901588,2.3386016537489507,0.3396628777285444,-17.89535429915328,7.923675801108663,116,57,93702.09053802483,18,-49923.10045623791,43778.99008178692,76.0,26,40966.16208648683,15,-45657.80773925787,-4691.64565277104,63.41463414634146
4,0.6,1.4,3,capital_based,,0.98,37126.43602752674,37.126436027526736,2.236842092164082,0.3298086450427088,-17.8953542991533,7.828141868849428,110,53,90104.72373962398,16,-48440.32028961189,41664.40345001209,76.81159420289855,26,40746.208641052246,15,-45284.1760635376,-4537.967422485352,63.41463414634146
5,0.6,1.3,3,fixed,150.0,,15160.7271194458,15.160727119445802,0.9939378884022743,0.5917749040427078,-12.772014736811968,8.560777593004842,125,52,16851.67694091797,22,-6585.599899291992,10266.077041625977,70.27027027027027,37,10952.946281433105,14,-5451.622009277344,5501.324272155762,72.54901960784314
5,0.5,1.3,3,fixed,150.0,,14042.1049118042,14.042104911804199,0.9248906669884871,0.5659600279542176,-12.772014736811983,8.591784144810468,126,52,16155.14144897461,23,-7007.686614990234,9147.454833984375,69.33333333333334,37,10952.946281433105,14,-5451.622009277344,5501.324272155762,72.54901960784314
5,0.6,1.4,3,fixed,150.0,,13563.06095123291,13.563060951232911,0.8951287681681963,0.559514590582366,-12.772014736811968,8.524716808494533,123,52,16851.67694091797,22,-6585.599899291992,10266.077041625977,70.27027027027027,35,9355.280113220215,14,-5451.622009277344,3903.658103942871,71.42857142857143
5,0.5,1.4,3,fixed,150.0,,12444.438743591309,12.44443874359131,0.8251741763852571,0.5337014159899702,-12.772014736811983,8.555826074786687,124,52,16155.14144897461,23,-7007.686614990234,9147.454833984375,69.33333333333334,35,9355.280113220215,14,-5451.622009277344,3903.658103942871,71.42857142857143
4,0.5,1.3,3,fixed,150.0,,7001.719665527344,7.001719665527344,0.4752903633927774,0.37782688756090965,-17.89535429915328,7.947307144438338,120,57,15401.473617553711,18,-6634.248733520508,8767.224884033203,76.0,30,7789.312362670898,15,-9554.817581176758,-1765.5052185058594,66.66666666666666
4,0.6,1.3,3,fixed,150.0,,6510.018539428711,6.510018539428711,0.44287119232921945,0.3684523597457447,-17.895354299153297,7.85207798111235,114,53,14581.013488769531,16,-6305.489730834961,8275.52375793457,76.81159420289855,30,7789.312362670898,15,-9554.817581176758,-1765.5052185058594,66.66666666666666
4,0.5,1.4,3,fixed,150.0,,5914.025115966797,5.914025115966797,0.4033886437726286,0.3396628777285444,-17.89535429915328,7.923675801108663,116,57,15401.473617553711,18,-6634.248733520508,8767.224884033203,76.0,26,6701.617813110352,15,-9554.817581176758,-2853.1997680664062,63.41463414634146
4,0.6,1.4,3,fixed,150.0,,5422.323989868164,5.422323989868164,0.37065925786059495,0.3298086450427088,-17.8953542991533,7.828141868849428,110,53,14581.013488769531,16,-6305.489730834961,8275.52375793457,76.81159420289855,26,6701.617813110352,15,-9554.817581176758,-2853.1997680664062,63.41463414634146
