Window,Pct_Long,Pct_Short,Min_Candles,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
7,8.0,0.7,0,capital_based,,0.98,56895.34769821164,56.89534769821164,3.206122711751491,0.3894453460911447,-16.73067126164916,8.88405058224028,10,3,42791.694622039824,1,-2212.774475097627,40578.9201469422,75.0,4,20926.353820800694,2,-4609.92626953125,16316.427551269444,66.66666666666666
7,8.0,0.6,0,capital_based,,0.98,56895.34769821164,56.89534769821164,3.206122711751491,0.3894453460911447,-16.73067126164916,8.88405058224028,10,3,42791.694622039824,1,-2212.774475097627,40578.9201469422,75.0,4,20926.353820800694,2,-4609.92626953125,16316.427551269444,66.66666666666666
7,8.0,0.5,0,capital_based,,0.98,56895.34769821164,56.89534769821164,3.206122711751491,0.3894453460911447,-16.73067126164916,8.88405058224028,10,3,42791.694622039824,1,-2212.774475097627,40578.9201469422,75.0,4,20926.353820800694,2,-4609.92626953125,16316.427551269444,66.66666666666666
9,8.0,0.7,0,capital_based,,0.98,51446.07847213742,51.44607847213742,2.95082209974733,0.3459744206368928,-16.730671261649167,9.311977229305489,9,3,38137.12598037721,1,-2134.905578613252,36002.22040176396,75.0,5,15443.858070373462,0,0.0,15443.858070373462,100.0
9,8.0,0.6,0,capital_based,,0.98,51446.07847213742,51.44607847213742,2.95082209974733,0.3459744206368928,-16.730671261649167,9.311977229305489,9,3,38137.12598037721,1,-2134.905578613252,36002.22040176396,75.0,5,15443.858070373462,0,0.0,15443.858070373462,100.0
9,8.0,0.5,0,capital_based,,0.98,51446.07847213742,51.44607847213742,2.95082209974733,0.3459744206368928,-16.730671261649167,9.311977229305489,9,3,38137.12598037721,1,-2134.905578613252,36002.22040176396,75.0,5,15443.858070373462,0,0.0,15443.858070373462,100.0
20,0.4,0.7,0,capital_based,,0.98,37838.03512573242,37.838035125732425,2.2739253986832297,0.2714181591470611,-17.16823059723644,10.137717121802298,7,5,31205.575683593735,0,0.0,31205.575683593735,100.0,2,6632.459442138686,0,0.0,6632.459442138686,100.0
20,0.6,0.6,0,capital_based,,0.98,37838.03512573242,37.838035125732425,2.2739253986832297,0.2714181591470611,-17.16823059723644,10.137717121802298,7,5,31205.575683593735,0,0.0,31205.575683593735,100.0,2,6632.459442138686,0,0.0,6632.459442138686,100.0
20,0.4,0.6,0,capital_based,,0.98,37838.03512573242,37.838035125732425,2.2739253986832297,0.2714181591470611,-17.16823059723644,10.137717121802298,7,5,31205.575683593735,0,0.0,31205.575683593735,100.0,2,6632.459442138686,0,0.0,6632.459442138686,100.0
20,0.4,0.5,0,capital_based,,0.98,37838.03512573242,37.838035125732425,2.2739253986832297,0.2714181591470611,-17.16823059723644,10.137717121802298,7,5,31205.575683593735,0,0.0,31205.575683593735,100.0,2,6632.459442138686,0,0.0,6632.459442138686,100.0
20,0.5,0.5,0,capital_based,,0.98,37838.03512573242,37.838035125732425,2.2739253986832297,0.2714181591470611,-17.16823059723644,10.137717121802298,7,5,31205.575683593735,0,0.0,31205.575683593735,100.0,2,6632.459442138686,0,0.0,6632.459442138686,100.0
20,0.5,0.6,0,capital_based,,0.98,37838.03512573242,37.838035125732425,2.2739253986832297,0.2714181591470611,-17.16823059723644,10.137717121802298,7,5,31205.575683593735,0,0.0,31205.575683593735,100.0,2,6632.459442138686,0,0.0,6632.459442138686,100.0
