Window,Z_Long,Z_Short,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
5,-1.1,1.7,capital_based,,0.98,82296.00099563596,82.29600099563595,4.296901935113606,0.654006505507447,-11.024835178238163,6.9302123035604835,66,50,128779.03418350218,15,-45764.49678039552,83014.53740310666,76.92307692307693,0,0.0,1,-718.5364074707031,-718.5364074707031,0.0
5,-0.7,1.7,capital_based,,0.98,69483.44581603995,69.48344581603996,3.7657080869814896,0.5762957612521259,-16.725032401081936,6.975469159338389,73,53,123807.16529846186,20,-54323.719482421904,69483.44581603995,72.6027397260274,0,0.0,0,0.0,0.0,0.0
8,-1.1,1.7,capital_based,,0.98,63443.88148117071,63.44388148117071,3.502233813588407,0.5264748333684317,-11.207540796249974,7.225022289338467,70,33,82296.26586914062,11,-25752.096023559585,56544.16984558104,75.0,17,43083.725849151684,9,-36184.01421356201,6899.711635589672,65.38461538461539
8,-1.1,1.3,capital_based,,0.98,58008.346282958926,58.008346282958925,3.2572513441810447,0.4281115071077998,-16.38366572272833,8.369051540846845,92,30,79418.44618988034,11,-28363.602142334,51054.84404754634,73.17073170731707,33,85063.00970458989,18,-76358.22808074957,8704.781623840317,64.70588235294117
8,-0.7,1.7,capital_based,,0.98,52330.945697784366,52.33094569778437,2.992853646103222,0.42573688089550005,-18.56361592228276,7.858584745235496,76,38,88871.36497497557,13,-43165.92558670041,45705.43938827516,74.50980392156863,16,41236.44277191156,9,-34610.93646240236,6625.506309509205,64.0
8,-1.5,1.7,capital_based,,0.98,47066.89995574951,47.06689995574951,2.739387257409298,0.44656321256803844,-18.46598140589534,6.764087712375833,57,23,68960.25438690186,7,-23368.992683410645,45591.26170349121,76.66666666666667,17,40593.37716674803,10,-39117.73891448973,1475.6382522583008,62.96296296296296
8,-0.7,1.3,capital_based,,0.98,43990.822288513125,43.99082228851313,2.5873387212911547,0.33270835831288537,-19.88918084254,8.901608212588638,97,34,84808.79336929318,13,-48557.029083251924,36251.76428604126,72.3404255319149,32,80939.64136123657,18,-71607.04045104986,9332.60091018671,64.0
5,-0.7,1.0,capital_based,,0.98,43653.1248397826,43.6531248397826,2.5704629638305665,0.3519028562188416,-18.579854098056703,8.478067655799439,141,41,98077.36525344849,15,-40903.38350677487,57173.98174667361,73.21428571428571,51,98569.50932693463,34,-108709.73146820064,-10140.222141266015,60.0
3,-0.7,1.3,capital_based,,0.98,42511.389392852725,42.51138939285273,2.51313250441354,0.3817890761421205,-15.724285320368306,7.350159872705792,114,78,125817.65812301631,36,-83306.26873016359,42511.389392852725,68.42105263157895,0,0.0,0,0.0,0.0,0.0
3,-0.7,1.7,capital_based,,0.98,42511.389392852725,42.51138939285273,2.51313250441354,0.3817890761421205,-15.724285320368306,7.350159872705792,114,78,125817.65812301631,36,-83306.26873016359,42511.389392852725,68.42105263157895,0,0.0,0,0.0,0.0,0.0
8,-0.7,1.0,capital_based,,0.98,34859.98839187616,34.859988391876165,2.1175271343048196,0.2721375434689901,-18.655200325894945,9.123700189381239,102,31,75531.30081558226,13,-47209.052127838106,28322.248687744155,70.45454545454545,38,89930.04562759397,20,-81899.87614440922,8030.169483184742,65.51724137931035
5,-1.1,1.3,capital_based,,0.98,27928.83829498291,27.92883829498291,1.7407110632509104,0.24735276947062604,-23.873099173908777,8.531122109790118,120,44,105609.7787437439,14,-42221.552726745605,63388.22601699829,75.86206896551724,35,56477.639560699434,27,-88925.49407958981,-32447.85451889038,56.451612903225815
3,-0.7,1.0,capital_based,,0.98,26698.757919311523,26.69875791931152,1.6718598384738437,0.24740382391709564,-24.583409411278915,8.407327455816798,179,57,95638.34974670409,28,-56526.18627166745,39112.163475036636,67.05882352941175,52,85039.80323791505,42,-96049.75856781009,-11009.955329895034,55.319148936170215
3,-1.1,1.3,capital_based,,0.98,19946.79740524286,19.94679740524286,1.2824871850728004,0.2389213115731262,-15.724285320368283,6.2711742946990805,66,44,69569.19628524774,22,-49622.39888000488,19946.79740524286,66.66666666666666,0,0.0,0,0.0,0.0,0.0
3,-1.1,1.7,capital_based,,0.98,19946.79740524286,19.94679740524286,1.2824871850728004,0.2389213115731262,-15.724285320368283,6.2711742946990805,66,44,69569.19628524774,22,-49622.39888000488,19946.79740524286,66.66666666666666,0,0.0,0,0.0,0.0,0.0
5,-0.7,1.3,capital_based,,0.98,17677.42168045038,17.67742168045038,1.1470290230489955,0.17984256339234023,-21.88945017076665,8.477182008112907,125,45,100608.97086334231,19,-51540.29627227783,49068.67459106448,70.3125,35,52886.16526412954,26,-81509.15645599364,-28622.9911918641,57.377049180327866
5,-1.1,1.7,fixed,150.0,,12066.830062866211,12.066830062866211,0.8014137334038773,0.654006505507447,-11.024835178238163,6.9302123035604835,66,50,17846.84600830078,15,-5717.389297485352,12129.45671081543,76.92307692307693,0,0.0,1,-62.62664794921875,-62.62664794921875,0.0
5,-1.5,1.7,capital_based,,0.98,11514.461044311582,11.514461044311581,0.7665223105731478,0.17428500362423327,-13.593937361264969,5.209699964804117,28,20,32062.432479858442,7,-20001.449554443345,12060.982925415097,74.07407407407408,0,0.0,1,-546.5218811035156,-546.5218811035156,0.0
5,-0.7,1.7,fixed,150.0,,11079.305648803711,11.079305648803711,0.7389215399529192,0.5762957612521259,-16.725032401081936,6.975469159338389,73,53,18261.977005004883,20,-7182.671356201172,11079.305648803711,72.6027397260274,0,0.0,0,0.0,0.0,0.0
8,-1.1,1.7,fixed,150.0,,10917.066764831543,10.917066764831542,0.7286054123732733,0.5264748333684317,-11.207540796249974,7.225022289338467,70,33,13953.101921081543,11,-4161.9855880737305,9791.116333007812,75.0,17,6340.688896179199,9,-5214.738464355469,1125.9504318237305,65.38461538461539
