Window,Pct_Long,Pct_Short,Min_Candles,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
5,0.4,1.2,1,capital_based,,0.98,85446.68121337879,85.4466812133788,4.422197458069621,0.6892173521317749,-10.103941587821222,6.723592809972081,191,93,132888.56392669672,30,-65778.30256652828,67110.26136016844,75.60975609756098,45,74893.12811279282,23,-55235.49243926996,19657.635673522862,66.17647058823529
5,0.4,1.1,1,capital_based,,0.98,74519.61078643799,74.51961078643798,3.97881650723666,0.600707129964667,-12.626980209114771,7.034594687230804,215,91,129050.16584777826,30,-64399.36524963373,64650.80059814453,75.20661157024794,55,92698.0182418822,39,-81586.63603210436,11111.382209777832,58.51063829787234
5,0.5,1.2,1,capital_based,,0.98,65857.1417236327,65.8571417236327,3.6085805313734287,0.5812143509100414,-14.03912665760639,6.583993807459596,167,72,105065.3843078613,27,-55864.14635467525,49201.23795318605,72.72727272727273,45,70535.79379272442,23,-52700.2330398559,17835.56075286852,66.17647058823529
5,0.5,1.1,1,capital_based,,0.98,57419.16209411633,57.41916209411633,3.230227430676602,0.5037609328578176,-16.194309332037975,6.90305856048556,192,71,103583.59261322019,27,-55272.21794128412,48311.374671936064,72.44897959183673,55,88580.34278106682,39,-78350.57049560531,10229.772285461513,58.51063829787234
5,0.6,1.2,1,capital_based,,0.98,54829.126174926525,54.82912617492652,3.11030437727573,0.5241528881433051,-13.116225862342493,6.327965384702651,149,59,84651.98561859122,22,-46274.90537261966,38377.08024597156,72.8395061728395,45,67264.16670989973,23,-49711.107597351016,17553.05911254871,66.17647058823529
5,0.6,1.1,1,capital_based,,0.98,48556.77349090588,48.55677349090588,2.811970556662491,0.45719605291336196,-14.345650874034032,6.66239158309888,175,59,84982.88279724112,22,-46123.09223175052,38859.790565490606,72.8395061728395,55,84829.94210052495,39,-74076.51081085186,10753.431289673084,58.51063829787234
5,0.4,1.0,1,capital_based,,0.98,42971.565132141,42.971565132140995,2.5362907130343837,0.3839452787221865,-14.177588965913165,7.2900799751488154,230,91,117676.28817749018,30,-57626.90335083008,60049.3848266601,75.20661157024794,55,81912.9321365356,54,-97973.62536621095,-16060.693229675351,50.45871559633027
4,0.6,1.2,1,capital_based,,0.98,34608.481521606445,34.60848152160644,2.1041720569746847,0.4931326154306988,-10.929253322736722,4.518751251699338,98,52,66629.57054901123,14,-29727.656265258818,36901.91428375241,78.78787878787878,19,19242.269134521543,13,-21535.70189666751,-2293.432762145967,59.375
4,0.4,1.2,1,capital_based,,0.98,33024.56110382074,33.024561103820744,2.0195283638770656,0.3579963711815663,-15.802902373344438,6.24400995930804,143,83,98369.5640792847,28,-62969.86246490483,35399.70161437987,74.77477477477478,19,19201.799346923828,13,-21576.939857482954,-2375.1405105591257,59.375
4,0.6,1.1,1,capital_based,,0.98,30074.9728775025,30.0749728775025,1.8593756845744824,0.40266165761190853,-11.019888292236622,4.93461931016961,114,52,66052.58924865717,14,-29276.155380249053,36776.433868408116,78.78787878787878,27,26942.813346862953,21,-33644.27433776857,-6701.460990905616,56.25
